market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,growth,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,MAPE,period_AE
Italy,Desktop,-,183,0.1,10,10,linear,additive,multiplicative,additive,na,na,na,na,na,na,na,na,20.04,0.0935
Italy,Mobile & Tablet,-,183,0.1,0.01,10,logistic,multiplicative,additive,additive,na,na,na,na,na,na,na,na,24.66,0.1331
