,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
47,Italy,Desktop,-,2022-02-17,Europe,11260.489999999998,522.0,,0,February,0,38.5,1.9,555.7124935064934
48,Italy,Desktop,-,2022-02-18,Europe,9726.190000000002,564.0,,0,February,0,38.5,1.9,479.99379220779224
49,Italy,Desktop,-,2022-02-19,Europe,2791.4600000000005,61.0,,1,February,0,38.5,1.9,137.76036363636365
50,Italy,Desktop,-,2022-02-20,Europe,2795.68,38.0,,1,February,0,38.5,1.9,137.96862337662336
51,Italy,Desktop,-,2022-02-21,Europe,13081.429999999998,784.0,,0,February,0,38.5,1.9,645.5770649350649
52,Italy,Desktop,-,2022-02-22,Europe,12483.87,578.0,,0,February,0,38.5,1.9,616.0870909090909
53,Italy,Desktop,-,2022-02-23,Europe,12721.299999999996,509.0,,0,February,0,38.5,1.9,627.8044155844153
54,Italy,Desktop,-,2022-02-24,Europe,11933.75,507.0,,0,February,0,38.5,1.9,588.9383116883117
55,Italy,Desktop,-,2022-02-25,Europe,9305.96,487.0,,0,February,0,38.5,1.9,459.25516883116876
56,Italy,Desktop,-,2022-02-26,Europe,2745.7600000000007,44.0,,1,February,0,38.5,1.9,135.505038961039
57,Italy,Desktop,-,2022-02-27,Europe,2446.18,23.0,,1,February,0,38.5,1.9,120.7205714285714
58,Italy,Desktop,-,2022-02-28,Europe,13254.529999999999,595.0,,0,February,0,38.5,1.9,654.1196623376622
59,Italy,Desktop,-,2022-03-01,Europe,12182.089999999998,490.0,,0,March,0,38.5,1.9,601.1940519480518
60,Italy,Desktop,-,2022-03-02,Europe,12340.740000000002,573.0,,0,March,0,38.5,1.9,609.0235324675325
61,Italy,Desktop,-,2022-03-03,Europe,13850.93,499.0,,0,March,0,38.5,1.9,683.5523896103896
62,Italy,Desktop,-,2022-03-04,Europe,13456.44,440.0,,0,March,0,38.5,1.9,664.084051948052
63,Italy,Desktop,-,2022-03-05,Europe,2780.82,40.0,,1,March,0,38.5,1.9,137.23527272727273
64,Italy,Desktop,-,2022-03-06,Europe,2612.8800000000006,31.0,,1,March,0,38.5,1.9,128.9473246753247
65,Italy,Desktop,-,2022-03-07,Europe,16410.59,546.0,,0,March,0,38.5,1.9,809.8732727272727
66,Italy,Desktop,-,2022-03-08,Europe,16714.429999999997,501.0,,0,March,0,38.5,1.9,824.8679740259738
67,Italy,Desktop,-,2022-03-09,Europe,18282.93,458.0,,0,March,0,38.5,1.9,902.2744675324674
68,Italy,Desktop,-,2022-03-10,Europe,18949.57,464.0,,0,March,0,38.5,1.9,935.1735844155844
69,Italy,Desktop,-,2022-03-11,Europe,13520.890000000001,443.0,,0,March,0,38.5,1.9,667.2647012987013
70,Italy,Desktop,-,2022-03-12,Europe,2817.9599999999987,44.0,,1,March,0,38.5,1.9,139.06815584415577
71,Italy,Desktop,-,2022-03-13,Europe,2599.5999999999995,64.0,,1,March,0,38.5,1.9,128.29194805194803
72,Italy,Desktop,-,2022-03-14,Europe,21539.480000000003,617.0,,0,March,0,38.5,1.9,1062.9873246753248
73,Italy,Desktop,-,2022-03-15,Europe,23977.76,464.0,,0,March,0,38.5,1.9,1183.3180259740257
74,Italy,Desktop,-,2022-03-16,Europe,20720.65,462.0,,0,March,0,38.5,1.9,1022.5775324675325
75,Italy,Desktop,-,2022-03-17,Europe,20321.51,543.0,,0,March,0,38.5,1.9,1002.8797142857143
76,Italy,Desktop,-,2022-03-18,Europe,15995.170000000002,447.0,,0,March,0,38.5,1.9,789.3720259740261
77,Italy,Desktop,-,2022-03-19,Europe,4942.28,36.0,,1,March,0,38.5,1.9,243.90472727272723
78,Italy,Desktop,-,2022-03-20,Europe,4544.299999999999,129.0,,1,March,0,38.5,1.9,224.2641558441558
79,Italy,Desktop,-,2022-03-21,Europe,24447.050000000003,665.0,,0,March,0,38.5,1.9,1206.4777922077924
80,Italy,Desktop,-,2022-03-22,Europe,21098.83,579.0,,0,March,0,38.5,1.9,1041.2409610389611
81,Italy,Desktop,-,2022-03-23,Europe,22656.340000000004,600.0,,0,March,0,38.5,1.9,1118.105090909091
82,Italy,Desktop,-,2022-03-24,Europe,23852.599999999995,634.0,,0,March,0,38.5,1.9,1177.1412987012984
83,Italy,Desktop,-,2022-03-25,Europe,22275.100000000002,556.0,,0,March,0,38.5,1.9,1099.2906493506493
84,Italy,Desktop,-,2022-03-26,Europe,8347.94,67.0,,1,March,0,38.5,1.9,411.9762597402597
85,Italy,Desktop,-,2022-03-27,Europe,6697.879999999999,105.0,,1,March,0,38.5,1.9,330.54472727272724
86,Italy,Desktop,-,2022-03-28,Europe,30952.519999999997,798.0,,0,March,0,38.5,1.9,1527.526961038961
87,Italy,Desktop,-,2022-03-29,Europe,20043.43,731.0,,0,March,0,38.5,1.9,989.1562857142857
88,Italy,Desktop,-,2022-03-30,Europe,18876.329999999998,774.0,,0,March,0,38.5,1.9,931.5591428571427
89,Italy,Desktop,-,2022-03-31,Europe,12516.65,594.0,,0,March,0,38.5,1.9,617.7048051948052
90,Italy,Desktop,-,2022-04-01,Europe,16381.41,602.0,,0,April,0,38.5,1.9,808.4332207792207
91,Italy,Desktop,-,2022-04-02,Europe,5775.099999999999,72.0,,1,April,0,38.5,1.9,285.004935064935
