market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
Italy,Desktop,-,183,0.1,0.1,0.1,multiplicative,na,multiplicative,na,na,na,na,na,na,na,na,linear,17.45,3.17
Italy,Mobile & Tablet,-,183,0.05,0.01,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,30.71,9.02
