,market,account_type,funnel,ds,region,X,y,key_0
91,Italy,Desktop,-,2022-04-02,Europe,779.7400000000001,72.0,
92,Italy,Desktop,-,2022-04-03,Europe,649.92,100.0,
93,Italy,Desktop,-,2022-04-04,Europe,2635.9300000000003,930.0,
94,Italy,Desktop,-,2022-04-05,Europe,2604.7799999999997,807.0,
95,Italy,Desktop,-,2022-04-06,Europe,3159.5600000000004,774.0,
96,Italy,Desktop,-,2022-04-07,Europe,3384.6700000000005,726.0,
97,Italy,Desktop,-,2022-04-08,Europe,3004.6700000000005,679.0,
98,Italy,Desktop,-,2022-04-09,Europe,949.8499999999999,192.0,
99,Italy,Desktop,-,2022-04-10,Europe,854.15,201.0,
100,Italy,Desktop,-,2022-04-11,Europe,3432.5799999999995,1001.0,
101,Italy,Desktop,-,2022-04-12,Europe,3391.5600000000004,954.0,
102,Italy,Desktop,-,2022-04-13,Europe,3136.8699999999994,805.0,
103,Italy,Desktop,-,2022-04-14,Europe,3045.44,852.0,
104,Italy,Desktop,-,2022-04-15,Europe,2047.46,546.0,
105,Italy,Desktop,-,2022-04-16,Europe,515.8499999999999,55.0,
106,Italy,Desktop,-,2022-04-17,Europe,289.05000000000007,77.0,
107,Italy,Desktop,-,2022-04-18,Europe,645.7800000000001,72.0,
108,Italy,Desktop,-,2022-04-19,Europe,3177.4200000000005,1008.0,
109,Italy,Desktop,-,2022-04-20,Europe,3322.1900000000005,878.0,
110,Italy,Desktop,-,2022-04-21,Europe,3127.1,876.0,
111,Italy,Desktop,-,2022-04-22,Europe,2481.6400000000003,766.0,
112,Italy,Desktop,-,2022-04-23,Europe,655.03,93.0,
113,Italy,Desktop,-,2022-04-24,Europe,530.39,105.0,
114,Italy,Desktop,-,2022-04-25,Europe,1101.9399999999998,130.0,
115,Italy,Desktop,-,2022-04-26,Europe,3250.58,1115.0,
116,Italy,Desktop,-,2022-04-27,Europe,2490.85,876.0,
117,Italy,Desktop,-,2022-04-28,Europe,1593.5299999999997,827.0,
118,Italy,Desktop,-,2022-04-29,Europe,1674.13,703.0,
119,Italy,Desktop,-,2022-04-30,Europe,546.72,132.0,
120,Italy,Desktop,-,2022-05-01,Europe,532.5400000000002,104.0,
121,Italy,Desktop,-,2022-05-02,Europe,1977.6900000000003,1131.0,
122,Italy,Desktop,-,2022-05-03,Europe,1781.3700000000001,954.0,
123,Italy,Desktop,-,2022-05-04,Europe,2134.83,814.0,
124,Italy,Desktop,-,2022-05-05,Europe,1918.1399999999996,779.0,
125,Italy,Desktop,-,2022-05-06,Europe,1591.3199999999997,810.0,
126,Italy,Desktop,-,2022-05-07,Europe,474.21999999999997,138.0,
127,Italy,Desktop,-,2022-05-08,Europe,453.77,192.0,
128,Italy,Desktop,-,2022-05-09,Europe,2166.41,1107.0,
129,Italy,Desktop,-,2022-05-10,Europe,1900.02,855.0,
130,Italy,Desktop,-,2022-05-11,Europe,1637.8799999999999,790.0,
131,Italy,Desktop,-,2022-05-12,Europe,1701.7699999999998,915.0,
132,Italy,Desktop,-,2022-05-13,Europe,1482.7100000000003,703.0,
133,Italy,Desktop,-,2022-05-14,Europe,478.61999999999995,102.0,
134,Italy,Desktop,-,2022-05-15,Europe,410.43999999999994,89.0,
135,Italy,Desktop,-,2022-05-16,Europe,2325.73,928.0,
136,Italy,Desktop,-,2022-05-17,Europe,1914.7900000000002,714.0,
137,Italy,Desktop,-,2022-05-18,Europe,1993.2999999999997,768.0,
138,Italy,Desktop,-,2022-05-19,Europe,2000.4599999999996,669.0,
139,Italy,Desktop,-,2022-05-20,Europe,1790.95,624.0,
140,Italy,Desktop,-,2022-05-21,Europe,511.57000000000005,124.0,
141,Italy,Desktop,-,2022-05-22,Europe,438.40999999999997,106.0,
142,Italy,Desktop,-,2022-05-23,Europe,2580.8599999999997,893.0,
143,Italy,Desktop,-,2022-05-24,Europe,2323.91,853.0,
144,Italy,Desktop,-,2022-05-25,Europe,1503.8899999999999,750.0,
145,Italy,Desktop,-,2022-05-26,Europe,1326.69,703.0,
146,Italy,Desktop,-,2022-05-27,Europe,1246.5799999999997,548.0,
147,Italy,Desktop,-,2022-05-28,Europe,325.1,94.0,
