market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
Italy,Desktop,-,183,0.05,0.001,15.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,linear,9.4,2.87
Italy,Mobile & Tablet,-,183,0.0001,1.0,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,linear,16.55,5.12
