market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,growth,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,MAPE,period_AE
US,Desktop,-,183,0.001,1,0.01,linear,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,11.29,0.1
US,Mobile & Tablet,-,183,0.5,0.1,0.01,linear,additive,multiplicative,additive,na,na,na,na,na,na,na,na,9.91,0.0678
