,iteration,Conversion Quantity
0,1,153774.0
1,2,154816.0
2,3,155372.0
3,4,155372.0
4,5,155639.0
5,6,155639.0
6,7,155639.0
7,8,155639.0
8,9,156061.0
9,10,156061.0
10,11,156061.0
11,12,156061.0
12,13,156061.0
13,14,156061.0
14,15,156061.0
15,16,156061.0
16,17,156061.0
17,18,156061.0
18,19,156061.0
19,20,156061.0
20,21,156061.0
21,22,156061.0
22,23,156061.0
23,24,156061.0
24,25,156061.0
25,26,156061.0
26,27,156061.0
27,28,156061.0
28,29,156061.0
29,30,156061.0
30,31,156061.0
31,32,156061.0
32,33,156061.0
33,34,156061.0
34,35,156061.0
35,36,156061.0
36,37,156061.0
37,38,156061.0
38,39,156061.0
39,40,156061.0
40,41,156061.0
41,42,156061.0
42,43,156061.0
43,44,156061.0
44,45,156061.0
45,46,156061.0
46,47,156061.0
47,48,156061.0
48,49,156061.0
49,50,156389.0
50,51,156389.0
51,52,156389.0
52,53,156389.0
53,54,156389.0
54,55,156389.0
55,56,156389.0
56,57,156389.0
57,58,156389.0
58,59,156480.0
59,60,156480.0
60,61,156480.0
61,62,156480.0
62,63,156480.0
63,64,156480.0
64,65,156480.0
65,66,156480.0
66,67,156480.0
67,68,156480.0
68,69,156480.0
69,70,156480.0
70,71,156480.0
71,72,156480.0
72,73,156544.0
73,74,156544.0
74,75,156544.0
75,76,156544.0
76,77,156544.0
77,78,156544.0
78,79,156544.0
79,80,156560.0
80,81,156560.0
81,82,156560.0
82,83,156560.0
83,84,156560.0
84,85,156560.0
85,86,156560.0
86,87,156560.0
87,88,156578.0
88,89,156578.0
89,90,156578.0
90,91,156607.0
91,92,156607.0
92,93,156607.0
93,94,156607.0
94,95,156607.0
95,96,156607.0
96,97,156607.0
97,98,156607.0
98,99,156607.0
99,100,156607.0
100,101,156607.0
101,102,156607.0
102,103,156607.0
103,104,156607.0
104,105,156607.0
105,106,156607.0
106,107,156607.0
107,108,156607.0
108,109,156607.0
109,110,156607.0
110,111,156607.0
111,112,156607.0
112,113,156607.0
113,114,156607.0
114,115,156607.0
115,116,156607.0
116,117,156607.0
117,118,156607.0
118,119,156607.0
119,120,156607.0
120,121,156640.0
121,122,156640.0
122,123,156640.0
123,124,156640.0
124,125,156640.0
125,126,156640.0
126,127,156640.0
127,128,156640.0
128,129,156640.0
129,130,156640.0
130,131,156640.0
131,132,156640.0
132,133,156640.0
133,134,156640.0
134,135,156739.0
135,136,156739.0
136,137,156739.0
137,138,156739.0
138,139,156739.0
139,140,156739.0
140,141,156739.0
141,142,156739.0
142,143,156739.0
143,144,156739.0
144,145,156739.0
145,146,156739.0
146,147,156739.0
147,148,156739.0
148,149,156739.0
149,150,156739.0
