,iteration,Conversion Quantity
0,1,246369.0
1,2,251298.0
2,3,252224.0
3,4,252224.0
4,5,252224.0
5,6,252224.0
6,7,252224.0
7,8,252224.0
8,9,252224.0
9,10,252224.0
10,11,252224.0
11,12,252409.0
12,13,252409.0
13,14,253051.0
14,15,253051.0
15,16,253051.0
16,17,253051.0
17,18,253051.0
18,19,253051.0
19,20,253051.0
20,21,253051.0
21,22,253833.0
22,23,253833.0
23,24,253833.0
24,25,253833.0
25,26,253833.0
26,27,253833.0
27,28,253833.0
28,29,253833.0
29,30,253833.0
30,31,253833.0
31,32,253833.0
32,33,253833.0
33,34,253833.0
34,35,253833.0
35,36,253833.0
36,37,253833.0
37,38,253833.0
38,39,253833.0
39,40,253833.0
40,41,253833.0
41,42,253833.0
42,43,253833.0
43,44,253833.0
44,45,253833.0
45,46,253833.0
46,47,253833.0
47,48,253833.0
48,49,253833.0
49,50,253833.0
50,51,253833.0
51,52,253833.0
52,53,253833.0
53,54,253833.0
54,55,253833.0
55,56,253833.0
56,57,253833.0
57,58,254553.0
58,59,254553.0
59,60,254553.0
60,61,254553.0
61,62,254553.0
62,63,254553.0
63,64,254553.0
64,65,254553.0
65,66,254553.0
66,67,254553.0
67,68,254553.0
68,69,254553.0
69,70,254553.0
70,71,254553.0
71,72,254553.0
72,73,255142.0
73,74,255142.0
74,75,255142.0
75,76,255142.0
76,77,255142.0
77,78,255142.0
78,79,255142.0
79,80,255142.0
80,81,255142.0
81,82,255142.0
82,83,255142.0
83,84,255142.0
84,85,255142.0
85,86,255142.0
86,87,255142.0
87,88,255142.0
88,89,255142.0
89,90,255142.0
90,91,255142.0
91,92,255142.0
92,93,255142.0
93,94,255142.0
94,95,255142.0
95,96,255142.0
96,97,255142.0
97,98,255142.0
98,99,255142.0
99,100,255142.0
100,101,255142.0
101,102,255142.0
102,103,255142.0
103,104,255142.0
104,105,255142.0
105,106,255142.0
106,107,255142.0
107,108,255142.0
108,109,255142.0
109,110,255142.0
110,111,255142.0
111,112,255142.0
112,113,255142.0
113,114,255142.0
114,115,255142.0
115,116,255142.0
116,117,255142.0
117,118,255142.0
118,119,255142.0
119,120,255142.0
120,121,255142.0
121,122,255142.0
122,123,255142.0
123,124,255142.0
124,125,255142.0
125,126,255142.0
126,127,255142.0
127,128,255142.0
128,129,255142.0
129,130,255142.0
130,131,255142.0
131,132,255142.0
132,133,255142.0
133,134,255142.0
134,135,255142.0
135,136,255142.0
136,137,255142.0
137,138,255142.0
138,139,255142.0
139,140,255142.0
140,141,255142.0
141,142,255142.0
142,143,255142.0
143,144,255142.0
144,145,255142.0
145,146,255142.0
146,147,255142.0
147,148,255142.0
148,149,255142.0
149,150,255142.0
