,region_x,market,funnel,account_type,ds,X,Month,Year,Spain_Desktop_-_Apr_2024,Spain_Desktop_-_Aug_2024,Spain_Desktop_-_Dec_2024,Spain_Desktop_-_Jul_2024,Spain_Desktop_-_Jun_2024,Spain_Desktop_-_May_2024,Spain_Desktop_-_Nov_2024,Spain_Desktop_-_Oct_2024,Spain_Desktop_-_Sep_2024,Spain_Mobile_&_Tablet_-_Apr_2024,Spain_Mobile_&_Tablet_-_Aug_2024,Spain_Mobile_&_Tablet_-_Dec_2024,Spain_Mobile_&_Tablet_-_Jul_2024,Spain_Mobile_&_Tablet_-_Jun_2024,Spain_Mobile_&_Tablet_-_May_2024,Spain_Mobile_&_Tablet_-_Nov_2024,Spain_Mobile_&_Tablet_-_Oct_2024,Spain_Mobile_&_Tablet_-_Sep_2024,Weekend,region_y,revenue,cost,conversion,AOV,ROAS
15,EMEA,Spain,-,Desktop,2024-05-10,262.84000000000003,May,2024,0.0,0.0,0.0,0.0,0.0,262.84000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
16,EMEA,Spain,-,Desktop,2024-05-11,58.94,May,2024,0.0,0.0,0.0,0.0,0.0,58.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
17,EMEA,Spain,-,Desktop,2024-05-12,72.91,May,2024,0.0,0.0,0.0,0.0,0.0,72.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
18,EMEA,Spain,-,Desktop,2024-05-13,432.4999999999999,May,2024,0.0,0.0,0.0,0.0,0.0,432.4999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
19,EMEA,Spain,-,Desktop,2024-05-14,414.78999999999996,May,2024,0.0,0.0,0.0,0.0,0.0,414.78999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
20,EMEA,Spain,-,Desktop,2024-05-15,380.62,May,2024,0.0,0.0,0.0,0.0,0.0,380.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
21,EMEA,Spain,-,Desktop,2024-05-16,424.02999999999986,May,2024,0.0,0.0,0.0,0.0,0.0,424.02999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
22,EMEA,Spain,-,Desktop,2024-05-17,582.4899999999999,May,2024,0.0,0.0,0.0,0.0,0.0,582.4899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
23,EMEA,Spain,-,Desktop,2024-05-18,378.65999999999997,May,2024,0.0,0.0,0.0,0.0,0.0,378.65999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
24,EMEA,Spain,-,Desktop,2024-05-19,353.05,May,2024,0.0,0.0,0.0,0.0,0.0,353.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,EMEA,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671
