,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,revenue,cost,conversion,AOV,ROAS,cap
34,Spain,Desktop,-,2022-02-04,EMEA,332.8299999999999,258.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.8640044717839195
35,Spain,Desktop,-,2022-02-05,EMEA,91.33,8.0,1,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.7858952871076087
36,Spain,Desktop,-,2022-02-06,EMEA,98.81,42.0,1,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.8502607392872311
37,Spain,Desktop,-,2022-02-07,EMEA,536.64,302.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.617790943539113
38,Spain,Desktop,-,2022-02-08,EMEA,445.3,250.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.8318096063617446
39,Spain,Desktop,-,2022-02-09,EMEA,480.95,276.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.138578105052058
40,Spain,Desktop,-,2022-02-10,EMEA,450.55,284.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.876985892985143
41,Spain,Desktop,-,2022-02-11,EMEA,319.57,259.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.74990207928368
42,Spain,Desktop,-,2022-02-12,EMEA,70.06,16.0,1,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.6028667887305273
43,Spain,Desktop,-,2022-02-13,EMEA,60.33,13.0,1,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.5191400708551629
44,Spain,Desktop,-,2022-02-14,EMEA,413.49000000000007,331.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.5580843344588327
45,Spain,Desktop,-,2022-02-15,EMEA,326.05,350.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.8056625244874174
46,Spain,Desktop,-,2022-02-16,EMEA,363.1,301.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.1244780329439696
47,Spain,Desktop,-,2022-02-17,EMEA,313.54,337.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.698013887219092
48,Spain,Desktop,-,2022-02-18,EMEA,298.49,264.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.568508532232017
49,Spain,Desktop,-,2022-02-19,EMEA,72.53,49.0,1,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.6241211559609642
50,Spain,Desktop,-,2022-02-20,EMEA,94.21999999999998,31.0,1,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.8107637572679173
51,Spain,Desktop,-,2022-02-21,EMEA,461.34000000000003,331.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.969833918254946
52,Spain,Desktop,-,2022-02-22,EMEA,523.83,290.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.507560804178021
53,Spain,Desktop,-,2022-02-23,EMEA,539.85,341.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.645413015931705
54,Spain,Desktop,-,2022-02-24,EMEA,572.97,377.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.930410846973028
55,Spain,Desktop,-,2022-02-25,EMEA,441.95000000000005,274.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.8029828329925297
56,Spain,Desktop,-,2022-02-26,EMEA,140.39,37.0,1,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.2080569293445438
57,Spain,Desktop,-,2022-02-27,EMEA,74.92000000000002,25.0,1,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.6446871226333304
58,Spain,Desktop,-,2022-02-28,EMEA,633.8100000000001,307.0,0,February,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.453939471385892
59,Spain,Desktop,-,2022-03-01,EMEA,643.06,462.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.5335357859128305
60,Spain,Desktop,-,2022-03-02,EMEA,707.5300000000002,413.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.0883005856481605
61,Spain,Desktop,-,2022-03-03,EMEA,661.7299999999998,312.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.694191266152609
62,Spain,Desktop,-,2022-03-04,EMEA,575.74,280.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.954246716296229
63,Spain,Desktop,-,2022-03-05,EMEA,116.68,27.0,1,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.0040322139463023
64,Spain,Desktop,-,2022-03-06,EMEA,121.57,25.0,1,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.0461106980583814
65,Spain,Desktop,-,2022-03-07,EMEA,713.33,416.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.138209626108295
66,Spain,Desktop,-,2022-03-08,EMEA,797.9599999999999,364.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.86645136647747
67,Spain,Desktop,-,2022-03-09,EMEA,613.03,409.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.2751274264269945
68,Spain,Desktop,-,2022-03-10,EMEA,641.95,337.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.523984228169598
69,Spain,Desktop,-,2022-03-11,EMEA,543.9499999999999,314.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.680693544532835
70,Spain,Desktop,-,2022-03-12,EMEA,121.47000000000001,20.0,1,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.045250197360793
71,Spain,Desktop,-,2022-03-13,EMEA,79.2,27.0,1,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.6815165524901194
72,Spain,Desktop,-,2022-03-14,EMEA,731.64,481.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.295767303836755
73,Spain,Desktop,-,2022-03-15,EMEA,535.62,430.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.609013836423709
74,Spain,Desktop,-,2022-03-16,EMEA,564.94,326.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.861312640956668
75,Spain,Desktop,-,2022-03-17,EMEA,512.19,311.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.407398522978717
76,Spain,Desktop,-,2022-03-18,EMEA,418.08,250.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.597581316478146
77,Spain,Desktop,-,2022-03-19,EMEA,76.34000000000002,11.0,1,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.6569062325390875
78,Spain,Desktop,-,2022-03-20,EMEA,112.18,15.0,1,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.9653096825548182
79,Spain,Desktop,-,2022-03-21,EMEA,598.6800000000001,332.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.151645576323039
80,Spain,Desktop,-,2022-03-22,EMEA,502.65999999999997,319.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.325392806498528
81,Spain,Desktop,-,2022-03-23,EMEA,553.3900000000001,291.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.761924810385192
82,Spain,Desktop,-,2022-03-24,EMEA,611.5400000000001,324.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.262305966032925
83,Spain,Desktop,-,2022-03-25,EMEA,434.64,235.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.740080231998807
84,Spain,Desktop,-,2022-03-26,EMEA,127.82,41.0,1,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.0998919916576648
85,Spain,Desktop,-,2022-03-27,EMEA,127.84,48.0,1,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.1000640917971827
86,Spain,Desktop,-,2022-03-28,EMEA,847.78,380.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,7.295152814016079
87,Spain,Desktop,-,2022-03-29,EMEA,650.95,369.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.601429290952567
88,Spain,Desktop,-,2022-03-30,EMEA,618.2800000000001,316.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.320303713050393
89,Spain,Desktop,-,2022-03-31,EMEA,539.5999999999999,271.0,0,March,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.6432617641877325
90,Spain,Desktop,-,2022-04-01,EMEA,493.59,296.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.247345393227248
91,Spain,Desktop,-,2022-04-02,EMEA,94.91000000000001,46.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.8167012120812783
92,Spain,Desktop,-,2022-04-03,EMEA,140.4,46.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.2081429794143026
93,Spain,Desktop,-,2022-04-04,EMEA,627.32,314.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.398092976112396
94,Spain,Desktop,-,2022-04-05,EMEA,672.5200000000001,320.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.787039291422414
95,Spain,Desktop,-,2022-04-06,EMEA,646.75,315.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.565288261653848
96,Spain,Desktop,-,2022-04-07,EMEA,653.3499999999999,273.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.622081307694691
97,Spain,Desktop,-,2022-04-08,EMEA,661.96,257.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.696170417757065
98,Spain,Desktop,-,2022-04-09,EMEA,154.05,20.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.3256013246351377
99,Spain,Desktop,-,2022-04-10,EMEA,147.81999999999996,36.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.2719921311753717
100,Spain,Desktop,-,2022-04-11,EMEA,892.78,356.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,7.68237812793092
101,Spain,Desktop,-,2022-04-12,EMEA,962.3900000000001,252.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,8.2813726635223
102,Spain,Desktop,-,2022-04-13,EMEA,700.3300000000002,250.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.026344535421786
103,Spain,Desktop,-,2022-04-14,EMEA,269.25,86.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.3168981282571295
104,Spain,Desktop,-,2022-04-15,EMEA,163.92,29.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,1.4105327434871258
105,Spain,Desktop,-,2022-04-16,EMEA,65.68,24.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.5651768581761496
106,Spain,Desktop,-,2022-04-17,EMEA,95.58999999999999,17.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.8225526168248802
107,Spain,Desktop,-,2022-04-18,EMEA,370.37,188.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.1870364336586556
108,Spain,Desktop,-,2022-04-19,EMEA,714.6500000000001,315.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,6.1495682353164645
109,Spain,Desktop,-,2022-04-20,EMEA,604.65,298.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.203017467969075
110,Spain,Desktop,-,2022-04-21,EMEA,668.3699999999999,315.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.7513285124724876
111,Spain,Desktop,-,2022-04-22,EMEA,450.96999999999997,249.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.8805999959150146
112,Spain,Desktop,-,2022-04-23,EMEA,93.21999999999998,36.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.8021587502920319
113,Spain,Desktop,-,2022-04-24,EMEA,82.97999999999999,37.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.714043478858966
114,Spain,Desktop,-,2022-04-25,EMEA,608.4399999999999,236.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.23563044440768
115,Spain,Desktop,-,2022-04-26,EMEA,672.53,266.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.787125341492172
116,Spain,Desktop,-,2022-04-27,EMEA,505.71,247.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.351638077774978
117,Spain,Desktop,-,2022-04-28,EMEA,362.40000000000003,307.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.11845452806085
118,Spain,Desktop,-,2022-04-29,EMEA,319.53000000000003,239.0,0,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.749557879004645
119,Spain,Desktop,-,2022-04-30,EMEA,52.76,11.0,1,April,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.4540001680477109
120,Spain,Desktop,-,2022-05-01,EMEA,35.839999999999996,16.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.30840345001573083
121,Spain,Desktop,-,2022-05-02,EMEA,253.92,235.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.184983371316807
122,Spain,Desktop,-,2022-05-03,EMEA,403.97,342.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.4761646680484035
123,Spain,Desktop,-,2022-05-04,EMEA,425.67,343.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.6628933194251156
124,Spain,Desktop,-,2022-05-05,EMEA,434.52,374.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.739047631161701
125,Spain,Desktop,-,2022-05-06,EMEA,346.62000000000006,247.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.9826675179813793
126,Spain,Desktop,-,2022-05-07,EMEA,80.19999999999999,12.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.6901215594660047
127,Spain,Desktop,-,2022-05-08,EMEA,81.44000000000001,33.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.7007917681161027
128,Spain,Desktop,-,2022-05-09,EMEA,469.5,426.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.0400507751781705
129,Spain,Desktop,-,2022-05-10,EMEA,552.4899999999999,380.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.754180304106894
130,Spain,Desktop,-,2022-05-11,EMEA,381.22,329.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.280400759347012
131,Spain,Desktop,-,2022-05-12,EMEA,404.44000000000005,315.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.48020902132707
132,Spain,Desktop,-,2022-05-13,EMEA,330.4,293.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,2.843094304832518
133,Spain,Desktop,-,2022-05-14,EMEA,65.74,6.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.5656931585947027
134,Spain,Desktop,-,2022-05-15,EMEA,92.37,20.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.7948444943625296
135,Spain,Desktop,-,2022-05-16,EMEA,402.9599999999999,278.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.4674736110027586
136,Spain,Desktop,-,2022-05-17,EMEA,475.49999999999994,272.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.091680817033482
137,Spain,Desktop,-,2022-05-18,EMEA,435.9699999999999,329.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.751524891276734
138,Spain,Desktop,-,2022-05-19,EMEA,580.61,305.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.996153100268791
139,Spain,Desktop,-,2022-05-20,EMEA,439.37999999999994,271.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.780867965064503
140,Spain,Desktop,-,2022-05-21,EMEA,59.019999999999996,17.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.5078675117167532
141,Spain,Desktop,-,2022-05-22,EMEA,86.5,27.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.7443331034140825
142,Spain,Desktop,-,2022-05-23,EMEA,588.72,322.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,5.065939706843222
143,Spain,Desktop,-,2022-05-24,EMEA,489.36999999999995,312.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.211032263789011
144,Spain,Desktop,-,2022-05-25,EMEA,510.57,313.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.3934584116777815
145,Spain,Desktop,-,2022-05-26,EMEA,541.9200000000001,263.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,4.663225380371787
146,Spain,Desktop,-,2022-05-27,EMEA,447.97,210.0,0,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,3.854784974987359
147,Spain,Desktop,-,2022-05-28,EMEA,100.39,11.0,1,May,0,2266401.844,8355484.22,71899,31.5220217805533,0.271247217315671,0.86385665030913
