"market","account_type","funnel","periods_for_acc_cal","changepoint_prior_scale","seasonality_prior_scale","holidays_prior_scale","seasonality_mode","input_mode","weekday_or_weekend","include_holiday","covid_year_exclude","covid_year_dummy","anomaly_2021","generic_cost_split","competitor_cost_split","new_confirmed","power","growth","MAPE","period_AE"
"Spain","Desktop","-",183,0.1,10,10,"multiplicative","multiplicative","multiplicative","Default","na","na","na","na","na","na","na","linear",14.96,0.82
"Spain","Mobile & Tablet","-",183,0.1,10,1,"multiplicative","multiplicative","additive","Default","na","na","na","na","na","na","na","logistic",17.61,9.84
