Unnamed: 0,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,Default,na,na,na,na,na,na,na,logistic,35.83,36.120000000000005
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,33.9,31.07
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,Custom,na,na,na,na,na,na,na,linear,38.84,39.12
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,na,Custom,na,na,na,na,na,na,na,logistic,35.84,36.120000000000005
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,logistic,31.01,4.55
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,linear,39.08,39.1
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,Default,na,na,na,na,na,na,na,logistic,31.01,4.55
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,Custom,na,na,na,na,na,na,na,linear,35.15,31.89
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,linear,43.78,46.13
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,additive,Custom,na,na,na,na,na,na,na,logistic,31.01,4.55
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,35.8,36.09
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,linear,49.4,52.21
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,Default,na,na,na,na,na,na,na,logistic,35.8,36.09
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,46.96,49.71
0,Spain,Desktop,-,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,Custom,na,na,na,na,na,na,na,linear,39.81,40.94
