,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,January_Feb_2023,power,growth,MAPE,period_AE
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,na,linear,50.2,60.0
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,na,linear,50.2,60.0
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,na,logistic,52.87,65.62
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,na,logistic,52.87,65.62
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,na,linear,50.2,60.0
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,linear,58.17,62.72
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,na,logistic,52.87,65.62
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,na,linear,58.17,62.72
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,logistic,346.03,62.480000000000004
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,na,linear,58.17,62.72
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,na,logistic,346.03,62.480000000000004
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,77.87,80.99
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,na,logistic,346.03,62.480000000000004
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,linear,77.87,80.99
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,52.86,65.59
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,linear,77.87,80.99
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,logistic,52.86,65.59
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,66.72,72.16
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,52.86,65.59
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,linear,66.72,72.16
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,87.74,53.93
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,linear,66.72,72.16
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,logistic,87.74,53.93
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,logistic,87.74,53.93
