,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,periods,cutoff_month
0,US,Bing Ads,Brand,67,0.05,0.01,0.01,additive,multiplicative,additive,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25
1,US,Bing Ads,Competitor,67,0.001,0.01,0.01,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25
2,US,Bing Ads,Generic,67,0.001,0.1,0.01,additive,additive,multiplicative,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25
3,US,Google AdWords,Brand,67,0.1,0.1,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,logistic,67.0,2024-04-25
4,US,Google AdWords,Competitor,67,0.001,0.01,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25
5,US,Google AdWords,Generic,67,0.05,1.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,linear,67.0,2024-04-25
