,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,January_Feb_2023,power,growth,MAPE,period_AE
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,100.0,100.0
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,additive,na,linear,69.1,59.589999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,additive,na,logistic,100.0,100.0
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,multiplicative,na,linear,69.1,59.589999999999996
0,US,Bing Ads,Generic,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,multiplicative,na,logistic,100.0,100.0
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,na,na,linear,208.85,11.51
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,additive,na,linear,208.85,11.51
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,multiplicative,na,linear,208.85,11.51
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,na,na,logistic,115.23,44.67
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,additive,na,logistic,115.23,44.67
0,US,Bing Ads,Generic,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,multiplicative,na,logistic,115.23,44.67
