,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,Nov_Dec_2018,Jul_Dec_2019,power,growth,MAPE,period_AE
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,additive,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,na,na,linear,42.16,54.16
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,additive,na,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,additive,additive,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,additive,na,linear,41.64,53.36
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,na,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,additive,na,na,linear,41.64,53.36
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,additive,additive,na,linear,41.64,53.36
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,na,additive,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,na,na,na,linear,42.16,54.16
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,additive,na,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,default,na,na,na,na,na,na,additive,additive,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,na,additive,na,linear,41.64,53.36
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,additive,na,na,linear,41.64,53.36
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,na,na,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,na,additive,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,additive,additive,na,linear,41.64,53.36
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,na,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,additive,na,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,additive,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,additive,na,multiplicative,customized,na,na,na,na,na,na,additive,additive,na,logistic,97.11,97.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,na,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,additive,na,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,na,additive,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,additive,additive,na,linear,40.89,48.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,additive,na,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,na,na,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,na,na,na,na,na,na,na,additive,additive,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,na,additive,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,na,na,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,additive,na,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,na,additive,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,additive,additive,na,linear,40.89,48.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,additive,na,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,na,na,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,na,additive,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,default,na,na,na,na,na,na,additive,additive,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,na,na,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,additive,na,na,linear,41.25,49.81
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,na,additive,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,additive,additive,na,linear,40.89,48.67
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,additive,na,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,na,na,na,linear,41.1,49.519999999999996
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,na,additive,na,linear,41.65,50.1
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,na,customized,na,na,na,na,na,na,additive,additive,na,logistic,99.92,99.95
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,na,na,na,logistic,96.91,98.18
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,additive,na,na,linear,41.65,50.1
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,na,additive,na,logistic,96.91,98.18
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,additive,additive,na,linear,41.65,50.1
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,additive,na,na,logistic,96.91,98.18
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,na,na,na,linear,41.1,49.519999999999996
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,na,na,na,na,na,na,na,additive,additive,na,logistic,96.91,98.18
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,na,additive,na,linear,41.65,50.1
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,additive,na,na,linear,41.65,50.1
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,na,na,na,logistic,96.91,98.18
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,additive,additive,na,linear,41.65,50.1
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,na,additive,na,logistic,96.91,98.18
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,default,na,na,na,na,na,na,additive,na,na,logistic,96.91,98.18
0,Mexico,-,Non_Brand,183,0.05,10.0,0.01,multiplicative,na,additive,customized,na,na,na,na,na,na,na,na,na,linear,41.1,49.519999999999996
