market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,growth,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,MAPE,period_AE
France,Desktop,-,183,0.1,1,0.01,linear,additive,multiplicative,na,na,na,na,na,na,na,na,na,23.15,0.1016
France,Mobile & Tablet,-,183,0.001,10,1,logistic,additive,additive,na,na,na,na,na,na,na,na,na,31.82,0.0478
