,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,January_Feb_2023,power,growth,MAPE,period_AE
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,140.16,30.570000000000004
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,na,linear,72.1,20.5
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,na,logistic,99.45,99.49
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,na,linear,72.1,20.5
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,na,logistic,99.45,99.49
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,na,linear,49.17,15.28
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,na,logistic,99.45,99.49
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,na,logistic,80.64,80.82000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,additive,default,na,na,na,na,na,na,na,na,linear,49.17,15.28
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,na,linear,49.17,15.28
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,additive,default,na,na,na,na,na,na,na,na,logistic,80.64,80.82000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,na,logistic,80.64,80.82000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,99.46,99.5
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,180.19,167.99
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,na,na,na,na,na,na,na,na,logistic,99.46,99.5
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,default,na,na,na,na,na,na,na,na,linear,180.19,167.99
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,99.46,99.5
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,76.78,61.6
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,additive,multiplicative,customized,na,na,na,na,na,na,na,na,linear,180.19,167.99
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,90.65,91.2
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,na,na,na,na,na,na,na,na,linear,76.78,61.6
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,na,customized,na,na,na,na,na,na,na,na,linear,76.78,61.6
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,na,default,na,na,na,na,na,na,na,na,logistic,90.65,91.2
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,54.65,33.15
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,na,customized,na,na,na,na,na,na,na,na,logistic,90.65,91.2
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,default,na,na,na,na,na,na,na,na,linear,54.65,33.15
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,64.61,65.23
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,customized,na,na,na,na,na,na,na,na,linear,54.65,33.15
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,default,na,na,na,na,na,na,na,na,logistic,64.61,65.23
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,additive,customized,na,na,na,na,na,na,na,na,logistic,64.61,65.23
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,93.01,93.42
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,75.78,69.26
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,logistic,93.01,93.42
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,linear,75.78,69.26
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,na,na,linear,94.11,79.49000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,na,default,na,na,na,na,na,na,na,na,linear,94.11,79.49000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,93.01,93.42
0,US,Google AdWords,Competitor,183,0.1,10.0,10.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,linear,75.78,69.26
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,na,na,na,na,na,na,na,na,na,na,logistic,147.57,23.849999999999998
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,na,customized,na,na,na,na,na,na,na,na,linear,94.11,79.49000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,linear,95.78,84.86
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,na,default,na,na,na,na,na,na,na,na,logistic,147.57,23.849999999999998
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,na,customized,na,na,na,na,na,na,na,na,logistic,147.57,23.849999999999998
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,additive,default,na,na,na,na,na,na,na,na,linear,95.78,84.86
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,logistic,289.36,272.64
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,additive,customized,na,na,na,na,na,na,na,na,linear,95.78,84.86
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,90.74,69.66
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,additive,default,na,na,na,na,na,na,na,na,logistic,289.36,272.64
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,additive,customized,na,na,na,na,na,na,na,na,logistic,289.36,272.64
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,linear,90.74,69.66
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,linear,90.74,69.66
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,147.56,23.71
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,logistic,147.56,23.71
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,100.82,90.12
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,147.56,23.71
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,linear,100.82,90.12
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,140.88,30.12
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,linear,100.82,90.12
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,logistic,140.88,30.12
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,94.47,79.92
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,logistic,140.88,30.12
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,additive,default,na,na,na,na,na,na,na,na,linear,94.47,79.92
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,306.31,288.94
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,na,linear,94.47,79.92
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,additive,default,na,na,na,na,na,na,na,na,logistic,306.31,288.94
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,101.44,87.55
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,linear,101.44,87.55
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,na,logistic,306.31,288.94
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,140.86,30.080000000000002
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,linear,101.44,87.55
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,logistic,140.86,30.080000000000002
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,140.86,30.080000000000002
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,na,linear,72.11,23.419999999999998
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,na,linear,72.11,23.419999999999998
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,na,na,na,na,na,na,na,na,na,na,logistic,99.45,99.49
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,na,linear,72.11,23.419999999999998
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,na,default,na,na,na,na,na,na,na,na,logistic,99.45,99.49
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,na,linear,49.58,14.430000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,na,customized,na,na,na,na,na,na,na,na,logistic,99.45,99.49
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,additive,default,na,na,na,na,na,na,na,na,linear,49.58,14.430000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,additive,na,na,na,na,na,na,na,na,na,logistic,80.62,80.81
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,na,linear,49.58,14.430000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,additive,default,na,na,na,na,na,na,na,na,logistic,80.62,80.81
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,additive,customized,na,na,na,na,na,na,na,na,logistic,80.62,80.81
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,136.7,121.53
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,99.46,99.5
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,multiplicative,default,na,na,na,na,na,na,na,na,linear,136.7,121.53
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,multiplicative,default,na,na,na,na,na,na,na,na,logistic,99.46,99.5
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,multiplicative,customized,na,na,na,na,na,na,na,na,linear,136.7,121.53
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,additive,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,99.46,99.5
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,75.99,62.56
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,na,default,na,na,na,na,na,na,na,na,linear,75.99,62.56
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,na,customized,na,na,na,na,na,na,na,na,linear,75.99,62.56
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,88.91,89.55
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,na,default,na,na,na,na,na,na,na,na,logistic,88.91,89.55
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,54.77,34.67
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,na,customized,na,na,na,na,na,na,na,na,logistic,88.91,89.55
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,additive,default,na,na,na,na,na,na,na,na,linear,54.77,34.67
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,64.95,65.52
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,additive,customized,na,na,na,na,na,na,na,na,linear,54.77,34.67
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,additive,default,na,na,na,na,na,na,na,na,logistic,64.95,65.52
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,additive,customized,na,na,na,na,na,na,na,na,logistic,64.95,65.52
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,74.02,65.21000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,90.94,91.47999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,linear,74.02,65.21000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,na,na,na,na,na,na,na,na,na,na,linear,95.71,84.0
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,linear,74.02,65.21000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,logistic,90.94,91.47999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,1.0,multiplicative,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,90.94,91.47999999999999
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,na,default,na,na,na,na,na,na,na,na,linear,95.71,84.0
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,na,customized,na,na,na,na,na,na,na,na,linear,95.71,84.0
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,na,na,na,na,na,na,na,na,na,na,logistic,147.57,23.84
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,na,default,na,na,na,na,na,na,na,na,logistic,147.57,23.84
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,na,linear,95.34,83.35000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,na,customized,na,na,na,na,na,na,na,na,logistic,147.57,23.84
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,additive,default,na,na,na,na,na,na,na,na,linear,95.34,83.35000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,na,logistic,287.75,271.03000000000003
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,additive,customized,na,na,na,na,na,na,na,na,linear,95.34,83.35000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,additive,default,na,na,na,na,na,na,na,na,logistic,287.75,271.03000000000003
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,95.65,85.27
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,additive,customized,na,na,na,na,na,na,na,na,logistic,287.75,271.03000000000003
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,144.31,21.92
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,linear,95.65,85.27
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,linear,95.65,85.27
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,logistic,144.31,21.92
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,98.27,80.74
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,144.31,21.92
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,linear,98.27,80.74
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,144.33,35.22
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,na,default,na,na,na,na,na,na,na,na,logistic,144.33,35.22
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,linear,98.27,80.74
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,95.04,85.86
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,additive,default,na,na,na,na,na,na,na,na,linear,95.04,85.86
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,na,customized,na,na,na,na,na,na,na,na,logistic,144.33,35.22
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,na,linear,95.04,85.86
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,306.71,289.27
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,additive,default,na,na,na,na,na,na,na,na,logistic,306.71,289.27
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,additive,customized,na,na,na,na,na,na,na,na,logistic,306.71,289.27
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,101.91,88.6
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,linear,101.91,88.6
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,linear,101.91,88.6
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,144.36,35.32
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,multiplicative,default,na,na,na,na,na,na,na,na,logistic,144.36,35.32
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,multiplicative,additive,na,na,na,na,na,na,na,na,na,na,linear,72.38,24.47
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,additive,multiplicative,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,144.36,35.32
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,multiplicative,additive,na,na,na,na,na,na,na,na,na,na,logistic,99.45,99.48
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,multiplicative,additive,na,default,na,na,na,na,na,na,na,na,linear,72.38,24.47
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,multiplicative,additive,na,customized,na,na,na,na,na,na,na,na,linear,72.38,24.47
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,multiplicative,additive,na,default,na,na,na,na,na,na,na,na,logistic,99.45,99.48
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,multiplicative,additive,additive,na,na,na,na,na,na,na,na,na,linear,49.5,14.860000000000001
0,US,Google AdWords,Competitor,183,0.1,10.0,0.1,multiplicative,additive,na,customized,na,na,na,na,na,na,na,na,logistic,99.45,99.48
