,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,January_Feb_2023,power,growth,MAPE,period_AE
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,na,linear,53.53,40.07
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,na,linear,53.53,40.07
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,na,linear,53.53,40.07
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,na,na,na,na,na,na,na,na,na,na,logistic,79.22,79.69000000000001
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,na,default,na,na,na,na,na,na,na,na,logistic,79.22,79.69000000000001
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,linear,53.26,39.78
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,na,customized,na,na,na,na,na,na,na,na,logistic,79.22,79.69000000000001
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,na,linear,53.26,39.78
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,na,linear,53.26,39.78
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,additive,na,na,na,na,na,na,na,na,na,logistic,19.2,20.73
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,additive,default,na,na,na,na,na,na,na,na,logistic,19.2,20.73
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,linear,63.56,50.2
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,additive,customized,na,na,na,na,na,na,na,na,logistic,19.2,20.73
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,linear,63.56,50.2
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,linear,63.56,50.2
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,78.85,79.34
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,54.32,42.17
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,default,na,na,na,na,na,na,na,na,logistic,78.85,79.34
0,US,Bing Ads,Competitor,183,0.1,10.0,10.0,additive,additive,multiplicative,customized,na,na,na,na,na,na,na,na,logistic,78.85,79.34
