,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,na,linear,51.87,44.190000000000005
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,na,na,logistic,47.9,35.099999999999994
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,linear,50.12,44.68
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,na,logistic,56.87,40.79
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,na,linear,50.71,43.07
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,additive,na,na,na,linear,53.81,47.07
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,logistic,36.72,28.139999999999997
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,na,logistic,42.94,26.26
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,52.54,44.61
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,additive,na,na,na,logistic,36.71,28.139999999999997
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,50.89,32.65
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,na,na,na,na,linear,37.21,27.12
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,additive,na,na,na,linear,50.71,43.1
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,na,na,na,na,logistic,31.41,17.560000000000002
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,multiplicative,na,na,na,linear,50.71,43.309999999999995
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,additive,na,na,na,logistic,42.64,31.480000000000004
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,additive,na,na,na,na,linear,49.81,42.370000000000005
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,multiplicative,na,na,na,logistic,39.81,24.18
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,additive,na,na,na,na,logistic,42.64,31.480000000000004
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,additive,additive,na,na,na,linear,49.88,42.44
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,additive,multiplicative,na,na,na,linear,48.05,42.57
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,additive,additive,na,na,na,logistic,40.09,29.12
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,multiplicative,na,na,na,na,linear,48.13,40.79
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,additive,multiplicative,na,na,na,logistic,36.0,27.58
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,multiplicative,additive,na,na,na,linear,50.9,45.17
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,multiplicative,na,na,na,na,logistic,39.81,24.18
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,multiplicative,multiplicative,na,na,na,linear,49.84,42.25
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,na,na,na,na,na,linear,22.03,9.51
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,multiplicative,additive,na,na,na,logistic,36.0,27.58
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,na,additive,na,na,na,linear,20.42,13.639999999999999
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,multiplicative,multiplicative,na,na,na,logistic,40.3,24.4
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,na,na,na,na,na,logistic,114.03,125.75
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,na,multiplicative,na,na,na,linear,22.89,11.41
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,na,additive,na,na,na,logistic,117.69,129.56
0,Italy,-,Non_Brand,183,0.05,10.0,10.0,additive,additive,multiplicative,na,False,na,na,additive,na,na,na,na,linear,21.13,14.27
