,ds,region,market,account_type,funnel,Identifier,X,y,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Mar_2018,Apr_2019,May_2019,Account Type,AOV,ROAS,Month of Ds,floor,cap,new_confirmed
30,2017-08-13,Europe,SM,-,-,S,0.0,40.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandBrand,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,76.01,28.37,August,0,451.50402194122034,0
31,2017-08-13,Europe,France,-,Brand,L,0.0,1.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,35.97,7.83,August,0,451.50402194122034,0
32,2017-08-13,Europe,France,-,Non_Brand,L,0.0,2.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,31.04,5.57,August,0,451.50402194122034,0
33,2017-08-13,Europe,Germany,-,Brand,L,0.0,13.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,24.69,8.13,August,0,451.50402194122034,0
34,2017-08-13,Europe,Italy,-,Brand,L,0.0,6.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,37.09,12.42,August,0,451.50402194122034,0
35,2017-08-13,Europe,Italy,-,Non_Brand,L,0.0,4.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,41.72,11.79,August,0,451.50402194122034,0
36,2017-08-13,Europe,Poland,-,Brand,L,0.0,42.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,20.26,34.73,August,0,451.50402194122034,0
37,2017-08-13,Europe,Poland,-,Non_Brand,L,0.0,4.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,19.2,14.67,August,0,451.50402194122034,0
38,2017-08-13,Europe,UK,-,Brand,L,0.0,89.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,23.16,6.01,August,0,451.50402194122034,0
39,2017-08-13,Europe,UK,-,Non_Brand,L,0.0,3.0,0,0.0,0.0,0.5,0.5,1,0,0,1,0,0,0,0,0,-,24.36,5.37,August,0,451.50402194122034,0
40,2017-08-14,Europe,SM,-,-,S,1711.3599994629622,293.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandBrand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,638.7486276116857,0
41,2017-08-14,Europe,France,-,Brand,L,117.90000024065372,156.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,25.66463725005056,0
42,2017-08-14,Europe,France,-,Non_Brand,L,1046.1599795371294,4.0,0,1046.1599795371294,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,187.7290942661666,0
43,2017-08-14,Europe,Germany,-,Brand,L,504.39999719150245,1847.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,24.69,8.13,August,0,166.09040004726268,0
44,2017-08-14,Europe,Italy,-,Brand,L,35.50000047683715,113.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,37.09,12.42,August,0,11.88757093346771,0
45,2017-08-14,Europe,Italy,-,Non_Brand,L,319.4799980521202,4.0,0,319.4799980521202,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,41.72,11.79,August,0,90.28449609382783,0
46,2017-08-14,Europe,Poland,-,Brand,L,26.919999690726417,534.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,20.26,34.73,August,0,46.14667271761739,0
47,2017-08-14,Europe,Poland,-,Non_Brand,L,109.82000222057104,7.0,0,109.82000222057104,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,19.2,14.67,August,0,83.90934544665507,0
48,2017-08-14,Europe,UK,-,Brand,L,3799.229960028083,1205.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,23.16,6.01,August,0,985.8968937723997,0
49,2017-08-14,Europe,UK,-,Non_Brand,L,1256.3900151252747,10.0,0,1256.3900151252747,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,24.36,5.37,August,0,276.96282353131056,0
50,2017-08-15,Europe,SM,-,-,S,1891.0600011199713,265.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandBrand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,705.8199214810365,0
51,2017-08-15,Europe,France,-,Brand,L,59.189999761059866,16.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,12.884562083099771,0
52,2017-08-15,Europe,France,-,Non_Brand,L,876.0500104725361,2.0,0,876.0500104725361,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,31.04,5.57,August,0,157.20356180193383,0
53,2017-08-15,Europe,Germany,-,Brand,L,446.5200048983098,1612.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,24.69,8.13,August,0,147.03149614512998,0
54,2017-08-15,Europe,Italy,-,Brand,L,12.120000243186952,10.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,37.09,12.42,August,0,4.058517201951521,0
55,2017-08-15,Europe,Italy,-,Non_Brand,L,156.26000022888184,2.0,0,156.26000022888184,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,41.72,11.79,August,0,44.158806392581894,0
56,2017-08-15,Europe,Poland,-,Brand,L,6.189999910071493,36.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,20.26,34.73,August,0,10.610991948508536,0
57,2017-08-15,Europe,Poland,-,Non_Brand,L,104.37000019848347,7.0,0,104.37000019848347,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,19.2,14.67,August,0,79.74520327665378,0
58,2017-08-15,Europe,UK,-,Brand,L,2885.730060145261,1248.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,23.16,6.01,August,0,748.8444586128247,0
59,2017-08-15,Europe,UK,-,Non_Brand,L,1243.4100207090376,18.0,0,1243.4100207090376,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,-,24.36,5.37,August,0,274.101470082411,0
60,2017-08-16,Europe,SM,-,-,S,2007.240014731884,404.0,BrandNon_BrandBrandBrandBrandNon_BrandBrandBrand,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,76.01,28.37,August,0,749.1829919476852,0
61,2017-08-16,Europe,France,-,Brand,L,176.85000398755082,311.0,0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,-,35.97,7.83,August,0,38.49695666451273,0
