,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
0,India,Desktop,-,2022-01-01,EMEA,55.37,49.0,1,January,0,103.0434172009,17.6660479749795,9.492785691176314
1,India,Desktop,-,2022-01-02,EMEA,35.53,20.0,1,January,0,103.0434172009,17.6660479749795,6.091361307702628
2,India,Desktop,-,2022-01-03,EMEA,223.41,199.0,0,January,0,103.0434172009,17.6660479749795,38.302027293944384
3,India,Desktop,-,2022-01-04,EMEA,1593.64,245.0,0,January,0,103.0434172009,17.6660479749795,273.2180420604339
4,India,Desktop,-,2022-01-05,EMEA,1125.0900000000001,202.0,0,January,0,103.0434172009,17.6660479749795,192.88853627028286
5,India,Desktop,-,2022-01-06,EMEA,741.5,238.0,0,January,0,103.0434172009,17.6660479749795,127.1248074771038
6,India,Desktop,-,2022-01-07,EMEA,718.84,202.0,0,January,0,103.0434172009,17.6660479749795,123.23991450686621
7,India,Desktop,-,2022-01-08,EMEA,688.5,126.0,1,January,0,103.0434172009,17.6660479749795,118.03834113012269
8,India,Desktop,-,2022-01-09,EMEA,212.29999999999998,26.0,1,January,0,103.0434172009,17.6660479749795,36.39729821630362
9,India,Desktop,-,2022-01-10,EMEA,1208.4299999999998,292.0,0,January,0,103.0434172009,17.6660479749795,207.17657599400744
10,India,Desktop,-,2022-01-11,EMEA,1267.03,316.0,0,January,0,103.0434172009,17.6660479749795,217.22312180406584
11,India,Desktop,-,2022-01-12,EMEA,1028.74,220.0,0,January,0,103.0434172009,17.6660479749795,176.3700262225162
12,India,Desktop,-,2022-01-13,EMEA,1080.86,167.0,0,January,0,103.0434172009,17.6660479749795,185.30562293958516
13,India,Desktop,-,2022-01-14,EMEA,989.4599999999999,142.0,0,January,0,103.0434172009,17.6660479749795,169.63575456007433
14,India,Desktop,-,2022-01-15,EMEA,675.6599999999999,120.0,1,January,0,103.0434172009,17.6660479749795,115.83701607549554
15,India,Desktop,-,2022-01-16,EMEA,394.57,8.0,1,January,0,103.0434172009,17.6660479749795,67.64617031185549
16,India,Desktop,-,2022-01-17,EMEA,1479.0099999999998,162.0,0,January,0,103.0434172009,17.6660479749795,253.56555833676504
