,market,account_type,funnel,ds,region,X,y,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
623,India,Desktop,-,2023-10-16,EMEA,735.66,219.0,0,October,0,103.0434172009,17.6660479749795,126.12358175132323
624,India,Desktop,-,2023-10-17,EMEA,769.4300000000001,236.0,0,October,0,103.0434172009,17.6660479749795,131.9132037992016
625,India,Desktop,-,2023-10-18,EMEA,833.79,188.0,0,October,0,103.0434172009,17.6660479749795,142.9472599141394
626,India,Desktop,-,2023-10-19,EMEA,717.59,225.0,0,October,0,103.0434172009,17.6660479749795,123.02561105528646
627,India,Desktop,-,2023-10-20,EMEA,1041.62,154.0,0,October,0,103.0434172009,17.6660479749795,178.57820898759385
628,India,Desktop,-,2023-10-21,EMEA,429.59,117.0,1,October,0,103.0434172009,17.6660479749795,73.65009581131358
629,India,Desktop,-,2023-10-22,EMEA,138.86,14.0,1,October,0,103.0434172009,17.6660479749795,23.806541829090538
630,India,Desktop,-,2023-10-23,EMEA,679.7600000000001,172.0,0,October,0,103.0434172009,17.6660479749795,116.53993139667713
631,India,Desktop,-,2023-10-24,EMEA,496.38,119.0,0,October,0,103.0434172009,17.6660479749795,85.10075783612243
632,India,Desktop,-,2023-10-25,EMEA,1082.66,159.0,0,October,0,103.0434172009,17.6660479749795,185.61421990986003
633,India,Desktop,-,2023-10-26,EMEA,1064.4,147.0,0,October,0,103.0434172009,17.6660479749795,182.48367508918312
634,India,Desktop,-,2023-10-27,EMEA,1140.48,209.0,0,October,0,103.0434172009,17.6660479749795,195.52704036613264
635,India,Desktop,-,2023-10-28,EMEA,399.24000000000007,82.0,1,October,0,103.0434172009,17.6660479749795,68.44680800695743
636,India,Desktop,-,2023-10-29,EMEA,196.68,46.0,1,October,0,103.0434172009,17.6660479749795,33.719362285363154
637,India,Desktop,-,2023-10-30,EMEA,910.05,193.0,0,October,0,103.0434172009,17.6660479749795,156.0214848881164
638,India,Desktop,-,2023-10-31,EMEA,1077.56,174.0,0,October,0,103.0434172009,17.6660479749795,184.73986182741467
639,India,Desktop,-,2023-11-01,EMEA,1017.4300000000001,111.0,0,November,0,103.0434172009,17.6660479749795,174.4310085926227
640,India,Desktop,-,2023-11-02,EMEA,941.23,117.0,0,November,0,103.0434172009,17.6660479749795,161.36707018432153
641,India,Desktop,-,2023-11-03,EMEA,804.59,156.0,0,November,0,103.0434172009,17.6660479749795,137.94113128523662
642,India,Desktop,-,2023-11-04,EMEA,397.06000000000006,92.0,1,November,0,103.0434172009,17.6660479749795,68.07306278740235
643,India,Desktop,-,2023-11-05,EMEA,187.9,12.0,1,November,0,103.0434172009,17.6660479749795,32.21409484146704
644,India,Desktop,-,2023-11-06,EMEA,840.79,156.0,0,November,0,103.0434172009,17.6660479749795,144.14735924298597
645,India,Desktop,-,2023-11-07,EMEA,914.0899999999999,196.0,0,November,0,103.0434172009,17.6660479749795,156.7141136436221
646,India,Desktop,-,2023-11-08,EMEA,955.0799999999999,187.0,0,November,0,103.0434172009,17.6660479749795,163.74155242782507
647,India,Desktop,-,2023-11-09,EMEA,950.0099999999999,177.0,0,November,0,103.0434172009,17.6660479749795,162.87233762821762
648,India,Desktop,-,2023-11-10,EMEA,753.64,174.0,0,November,0,103.0434172009,17.6660479749795,129.20612259884626
649,India,Desktop,-,2023-11-11,EMEA,351.65999999999997,77.0,1,November,0,103.0434172009,17.6660479749795,60.28956142602606
