ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Mexico_-_Brand_Apr_2024,Mexico_-_Brand_Aug_2024,Mexico_-_Brand_Dec_2024,Mexico_-_Brand_Jul_2024,Mexico_-_Brand_Jun_2024,Mexico_-_Brand_May_2024,Mexico_-_Brand_Nov_2024,Mexico_-_Brand_Oct_2024,Mexico_-_Brand_Sep_2024,Mexico_-_Non_Brand_Apr_2024,Mexico_-_Non_Brand_Aug_2024,Mexico_-_Non_Brand_Dec_2024,Mexico_-_Non_Brand_Jul_2024,Mexico_-_Non_Brand_Jun_2024,Mexico_-_Non_Brand_May_2024,Mexico_-_Non_Brand_Nov_2024,Mexico_-_Non_Brand_Oct_2024,Mexico_-_Non_Brand_Sep_2024,AOV,ROAS
2024-05-03,LATAM,Mexico,-,Non_Brand,L,193.74,0,193.74,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.74,0.0,0.0,0.0,69.4,3.79
2024-05-04,LATAM,Mexico,-,Brand,L,143.73999999999998,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,143.73999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-04,LATAM,Mexico,-,Non_Brand,L,73.52000000000001,0,73.52000000000001,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.52000000000001,0.0,0.0,0.0,69.4,3.79
2024-05-05,LATAM,Mexico,-,Brand,L,67.46000000000001,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,67.46000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-05,LATAM,Mexico,-,Non_Brand,L,31.72,0,31.72,0.0,1.0,0.0,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.72,0.0,0.0,0.0,69.4,3.79
2024-05-06,LATAM,Mexico,-,Brand,L,1059.5400000000002,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,1059.5400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-06,LATAM,Mexico,-,Non_Brand,L,140.14,0,140.14,0.0,1.0,0.0,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.14,0.0,0.0,0.0,69.4,3.79
2024-05-07,LATAM,Mexico,-,Brand,L,1490.06,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,1490.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
2024-05-07,LATAM,Mexico,-,Non_Brand,L,194.89999999999998,0,194.89999999999998,0.0,1.0,0.0,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.89999999999998,0.0,0.0,0.0,69.4,3.79
2024-05-08,LATAM,Mexico,-,Brand,L,808.42,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,808.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9,20.69
