region,market,account_type,funnel,ds,X,y,anomaly_2021,covid_year_dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,AOV,ROAS
LATAM,Mexico,-,Brand,2018-09-10,5.909999882802367,3.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-11,5.83000005222857,11.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-12,4.579999938607216,3.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-13,4.730000048875809,8.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-14,4.129999905824661,5.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-15,0.0,5.0,0,0,1,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-17,6.369999995455146,9.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-18,6.390000170096755,1.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-19,6.130000067874789,3.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-20,5.500000076368451,3.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-21,4.109999883919953,9.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-22,0.009999999776482582,9.0,0,0,1,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-24,6.359999967738986,9.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-25,5.470000013709068,2.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-26,5.250000046566128,6.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-27,4.140000067651272,3.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-09-28,4.1999999191612005,4.0,0,0,0,0,0,September,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-01,4.910000026226044,5.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-02,5.660000031813979,3.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-03,4.969999959692359,4.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-04,5.0,5.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-05,3.769999884068966,2.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-06,0.029999999329447746,2.0,0,0,1,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-07,0.0,2.0,0,0,1,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-08,5.399999972432851,4.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-09,0.33000000193715096,7.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-10,0.0,4.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-11,5.999999955296516,6.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-12,4.8000000063329935,6.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-13,0.0,6.0,0,0,1,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-14,0.0,6.0,0,0,1,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-15,3.9199999254196882,5.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-16,5.8199999034404755,5.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-17,4.889999890699983,5.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-18,4.909999983385205,3.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-19,4.170000085607171,1.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-20,0.0,1.0,0,0,1,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-22,5.869999937713146,1.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-23,5.009999873116612,3.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-24,5.540000036358833,6.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-25,4.6499999687075615,3.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-26,5.279999868944287,3.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-27,0.03999999910593033,3.0,0,0,1,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-29,5.309999952092767,1.0,0,0,0,0,0,October,60.9,20.69
LATAM,Mexico,-,Brand,2018-10-30,5.7100000232458115,4.0,0,0,0,0,0,October,60.9,20.69
