ds,region,market,account_type,funnel,Identifier,X,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,Month,Year,Canada_-_Brand_Apr_2024,Canada_-_Brand_Aug_2024,Canada_-_Brand_Dec_2024,Canada_-_Brand_Jul_2024,Canada_-_Brand_Jun_2024,Canada_-_Brand_May_2024,Canada_-_Brand_Nov_2024,Canada_-_Brand_Oct_2024,Canada_-_Brand_Sep_2024,Canada_-_Non_Brand_Apr_2024,Canada_-_Non_Brand_Aug_2024,Canada_-_Non_Brand_Dec_2024,Canada_-_Non_Brand_Jul_2024,Canada_-_Non_Brand_Jun_2024,Canada_-_Non_Brand_May_2024,Canada_-_Non_Brand_Nov_2024,Canada_-_Non_Brand_Oct_2024,Canada_-_Non_Brand_Sep_2024,AOV,ROAS
2024-05-03,Canada,Canada,-,Brand,L,1611.7200000000003,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,1611.7200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-03,Canada,Canada,-,Non_Brand,L,127.27999999999999,0,24.380000000000003,102.89999999999999,0.19154619736015085,0.8084538026398491,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.27999999999999,0.0,0.0,0.0,43.89,7.12
2024-05-04,Canada,Canada,-,Brand,L,837.4000000000002,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,837.4000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-04,Canada,Canada,-,Non_Brand,L,88.74000000000001,0,17.33,71.41,0.1952896100969123,0.8047103899030876,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.74000000000001,0.0,0.0,0.0,43.89,7.12
2024-05-05,Canada,Canada,-,Brand,L,842.5500000000001,0,0.0,0.0,0.5,0.5,1,May,2024,0.0,0.0,0.0,0.0,0.0,842.5500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-05,Canada,Canada,-,Non_Brand,L,62.59,0,10.21,52.38,0.16312509985620707,0.836874900143793,1,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.59,0.0,0.0,0.0,43.89,7.12
2024-05-06,Canada,Canada,-,Brand,L,1891.75,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,1891.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-06,Canada,Canada,-,Non_Brand,L,197.89999999999998,0,43.25,154.65,0.21854471955533097,0.781455280444669,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.89999999999998,0.0,0.0,0.0,43.89,7.12
2024-05-07,Canada,Canada,-,Brand,L,1350.96,0,0.0,0.0,0.5,0.5,0,May,2024,0.0,0.0,0.0,0.0,0.0,1350.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.32,26.36
2024-05-07,Canada,Canada,-,Non_Brand,L,160.23000000000002,0,26.11,134.12,0.16295325469637395,0.8370467453036261,0,May,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.23000000000002,0.0,0.0,0.0,43.89,7.12
