,market,account_type,funnel,ds,region,X,y,key_0,weekday_or_weekend,Month of Ds,floor,AOV,ROAS,cap
54,Germany,Desktop,-,2022-02-24,Europe,5219.01,1686.0,,0,February,0,24.87,3.26,684.1163088057901
55,Germany,Desktop,-,2022-02-25,Europe,4443.51,1463.0,,0,February,0,24.87,3.26,582.4625090470446
56,Germany,Desktop,-,2022-02-26,Europe,1584.19,54.0,,1,February,0,24.87,3.26,207.65819863289101
57,Germany,Desktop,-,2022-02-27,Europe,1590.0100000000002,74.0,,1,February,0,24.87,3.26,208.42109368717328
58,Germany,Desktop,-,2022-02-28,Europe,5213.17,1851.0,,0,February,0,24.87,3.26,683.3507921190188
59,Germany,Desktop,-,2022-03-01,Europe,4024.3099999999995,1807.0,,0,March,0,24.87,3.26,527.5130920788097
60,Germany,Desktop,-,2022-03-02,Europe,3174.56,1812.0,,0,March,0,24.87,3.26,416.1264817048653
61,Germany,Desktop,-,2022-03-03,Europe,5132.93,1932.0,,0,March,0,24.87,3.26,672.8328025733816
62,Germany,Desktop,-,2022-03-04,Europe,5008.66,1414.0,,0,March,0,24.87,3.26,656.5432891033373
63,Germany,Desktop,-,2022-03-05,Europe,1129.0,39.0,,1,March,0,24.87,3.26,147.9911540008042
64,Germany,Desktop,-,2022-03-06,Europe,1155.43,134.0,,1,March,0,24.87,3.26,151.45564133494167
65,Germany,Desktop,-,2022-03-07,Europe,5952.610000000001,1810.0,,0,March,0,24.87,3.26,780.277788500201
66,Germany,Desktop,-,2022-03-08,Europe,5402.0199999999995,1615.0,,0,March,0,24.87,3.26,708.1055568958584
67,Germany,Desktop,-,2022-03-09,Europe,5214.37,1610.0,,0,March,0,24.87,3.26,683.5080900683554
68,Germany,Desktop,-,2022-03-10,Europe,5373.889999999999,1697.0,,0,March,0,24.87,3.26,704.4182308001607
69,Germany,Desktop,-,2022-03-11,Europe,5271.380000000001,1491.0,,0,March,0,24.87,3.26,690.9810534780861
70,Germany,Desktop,-,2022-03-12,Europe,912.05,55.0,,1,March,0,24.87,3.26,119.55299557700037
71,Germany,Desktop,-,2022-03-13,Europe,970.5300000000001,71.0,,1,March,0,24.87,3.26,127.21864897466827
72,Germany,Desktop,-,2022-03-14,Europe,6171.63,1915.0,,0,March,0,24.87,3.26,808.9872858866104
73,Germany,Desktop,-,2022-03-15,Europe,5185.389999999999,1880.0,,0,March,0,24.87,3.26,679.7093445918775
74,Germany,Desktop,-,2022-03-16,Europe,3518.22,1871.0,,0,March,0,24.87,3.26,461.17399276236426
75,Germany,Desktop,-,2022-03-17,Europe,3405.09,1924.0,,0,March,0,24.87,3.26,446.344728588661
76,Germany,Desktop,-,2022-03-18,Europe,2628.4999999999995,1597.0,,0,March,0,24.87,3.26,344.5480498592681
77,Germany,Desktop,-,2022-03-19,Europe,582.05,50.0,,1,March,0,24.87,3.26,76.29605950944912
78,Germany,Desktop,-,2022-03-20,Europe,546.1800000000001,57.0,,1,March,0,24.87,3.26,71.59416164053076
79,Germany,Desktop,-,2022-03-21,Europe,3263.6099999999997,2092.0,,0,March,0,24.87,3.26,427.7993003618817
80,Germany,Desktop,-,2022-03-22,Europe,3306.61,2085.0,,0,March,0,24.87,3.26,433.43581021310814
81,Germany,Desktop,-,2022-03-23,Europe,3452.0499999999997,1866.0,,0,March,0,24.87,3.26,452.50032167269796
82,Germany,Desktop,-,2022-03-24,Europe,3291.52,1985.0,,0,March,0,24.87,3.26,431.45778850020105
83,Germany,Desktop,-,2022-03-25,Europe,2949.3199999999997,1632.0,,0,March,0,24.87,3.26,386.60165661439476
84,Germany,Desktop,-,2022-03-26,Europe,602.0900000000001,45.0,,1,March,0,24.87,3.26,78.92293526336954
85,Germany,Desktop,-,2022-03-27,Europe,530.91,57.0,,1,March,0,24.87,3.26,69.59254523522314
86,Germany,Desktop,-,2022-03-28,Europe,4168.41,2024.0,,0,March,0,24.87,3.26,546.4019541616404
87,Germany,Desktop,-,2022-03-29,Europe,3407.17,2092.0,,0,March,0,24.87,3.26,446.61737836751104
88,Germany,Desktop,-,2022-03-30,Europe,2727.6000000000004,1964.0,,0,March,0,24.87,3.26,357.5382388419783
89,Germany,Desktop,-,2022-03-31,Europe,2071.77,1929.0,,0,March,0,24.87,3.26,271.5709770808202
90,Germany,Desktop,-,2022-04-01,Europe,1951.76,1573.0,,0,April,0,24.87,3.26,255.83987133092074
91,Germany,Desktop,-,2022-04-02,Europe,252.55000000000004,65.0,,1,April,0,24.87,3.26,33.10466425412143
92,Germany,Desktop,-,2022-04-03,Europe,206.17,88.0,,1,April,0,24.87,3.26,27.025098512263764
93,Germany,Desktop,-,2022-04-04,Europe,2408.0099999999998,2020.0,,0,April,0,24.87,3.26,315.6458624849215
94,Germany,Desktop,-,2022-04-05,Europe,3271.65,1983.0,,0,April,0,24.87,3.26,428.85319662243666
95,Germany,Desktop,-,2022-04-06,Europe,4119.19,1977.0,,0,April,0,24.87,3.26,539.9501166063529
96,Germany,Desktop,-,2022-04-07,Europe,4720.050000000001,1974.0,,0,April,0,24.87,3.26,618.7118214716527
97,Germany,Desktop,-,2022-04-08,Europe,3870.2699999999995,1717.0,,0,April,0,24.87,3.26,507.3212786489746
98,Germany,Desktop,-,2022-04-09,Europe,791.6300000000001,62.0,,1,April,0,24.87,3.26,103.7681463610776
99,Germany,Desktop,-,2022-04-10,Europe,723.6099999999999,124.0,,1,April,0,24.87,3.26,94.85197426618414
100,Germany,Desktop,-,2022-04-11,Europe,5227.929999999999,2003.0,,0,April,0,24.87,3.26,685.2855568958583
101,Germany,Desktop,-,2022-04-12,Europe,5060.01,2186.0,,0,April,0,24.87,3.26,663.2743305186972
102,Germany,Desktop,-,2022-04-13,Europe,4804.58,1997.0,,0,April,0,24.87,3.26,629.792151186168
103,Germany,Desktop,-,2022-04-14,Europe,4789.19,1697.0,,0,April,0,24.87,3.26,627.7748049859267
104,Germany,Desktop,-,2022-04-15,Europe,2250.6600000000003,76.0,,0,April,0,24.87,3.26,295.0201688781665
105,Germany,Desktop,-,2022-04-16,Europe,634.2099999999999,58.0,,1,April,0,24.87,3.26,83.13327704061116
106,Germany,Desktop,-,2022-04-17,Europe,423.26,27.0,,1,April,0,24.87,3.26,55.48160836349014
107,Germany,Desktop,-,2022-04-18,Europe,2380.37,116.0,,0,April,0,24.87,3.26,312.022766385203
108,Germany,Desktop,-,2022-04-19,Europe,6711.37,1835.0,,0,April,0,24.87,3.26,879.7372818657016
109,Germany,Desktop,-,2022-04-20,Europe,6362.69,1849.0,,0,April,0,24.87,3.26,834.0317410534778
110,Germany,Desktop,-,2022-04-21,Europe,5922.72,1840.0,,0,April,0,24.87,3.26,776.3597587454765
111,Germany,Desktop,-,2022-04-22,Europe,5311.280000000001,1545.0,,0,April,0,24.87,3.26,696.2112102935264
112,Germany,Desktop,-,2022-04-23,Europe,1213.35,85.0,,1,April,0,24.87,3.26,159.04788902291915
113,Germany,Desktop,-,2022-04-24,Europe,1242.2800000000002,146.0,,1,April,0,24.87,3.26,162.84008041817452
114,Germany,Desktop,-,2022-04-25,Europe,6908.69,1793.0,,0,April,0,24.87,3.26,905.6023080016083
115,Germany,Desktop,-,2022-04-26,Europe,6197.469999999999,1869.0,,0,April,0,24.87,3.26,812.3744350623239
116,Germany,Desktop,-,2022-04-27,Europe,3497.26,1797.0,,0,April,0,24.87,3.26,458.42652191395257
117,Germany,Desktop,-,2022-04-28,Europe,1910.6799999999998,1831.0,,0,April,0,24.87,3.26,250.45503819863282
118,Germany,Desktop,-,2022-04-29,Europe,2420.98,1473.0,,0,April,0,24.87,3.26,317.3459911540007
119,Germany,Desktop,-,2022-04-30,Europe,262.5,73.0,,1,April,0,24.87,3.26,34.408926417370324
120,Germany,Desktop,-,2022-05-01,Europe,251.5,123.0,,1,May,0,24.87,3.26,32.96702854845195
121,Germany,Desktop,-,2022-05-02,Europe,3243.9399999999996,1882.0,,0,May,0,24.87,3.26,425.2209248090067
122,Germany,Desktop,-,2022-05-03,Europe,3395.1600000000003,1841.0,,0,May,0,24.87,3.26,445.0430880579011
123,Germany,Desktop,-,2022-05-04,Europe,4060.8099999999995,1968.0,,0,May,0,24.87,3.26,532.2975713711297
124,Germany,Desktop,-,2022-05-05,Europe,4540.69,2204.0,,0,May,0,24.87,3.26,595.2010213108161
125,Germany,Desktop,-,2022-05-06,Europe,3624.6800000000003,1649.0,,0,May,0,24.87,3.26,475.1289425010052
126,Germany,Desktop,-,2022-05-07,Europe,478.56999999999994,96.0,,1,May,0,24.87,3.26,62.731733011660616
127,Germany,Desktop,-,2022-05-08,Europe,458.2300000000001,141.0,,1,May,0,24.87,3.26,60.065532770406115
128,Germany,Desktop,-,2022-05-09,Europe,4918.29,2175.0,,0,May,0,24.87,3.26,644.6974427020506
