market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,growth,MAPE,period_AE
Germany,Desktop,-,183,0.1,0.01,1,multiplicative,na,additive,na,na,na,na,na,na,na,na,linear,8.1,2.4
Germany,Mobile & Tablet,-,183,0.05,1,0.01,additive,na,multiplicative,na,na,na,na,na,na,na,na,linear,36.97,0.86
