,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,anomaly_2022,power,growth,MAPE,period_AE
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,multiplicative,na,linear,14.51,12.740000000000002
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,na,na,logistic,49.3,49.480000000000004
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,additive,na,logistic,49.3,49.480000000000004
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,na,linear,13.55,12.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,na,na,na,na,na,na,na,multiplicative,na,logistic,49.3,49.480000000000004
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,additive,na,linear,13.55,12.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,na,na,logistic,49.2,49.32
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,multiplicative,na,linear,13.55,12.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,additive,na,logistic,49.2,49.32
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Default,na,na,na,na,na,na,multiplicative,na,logistic,49.2,49.32
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,na,na,linear,14.0,12.030000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,additive,na,linear,14.0,12.030000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,na,na,logistic,48.75,48.92
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,linear,11.31,7.07
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,multiplicative,na,linear,14.0,12.030000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,additive,na,logistic,48.75,48.92
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear,11.31,7.07
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,additive,multiplicative,Custom,na,na,na,na,na,na,multiplicative,na,logistic,48.75,48.92
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,multiplicative,na,linear,11.31,7.07
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,na,na,logistic,54.99,55.169999999999995
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,additive,na,logistic,54.99,55.169999999999995
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,na,linear,10.9,7.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,additive,na,linear,10.9,7.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,na,na,na,na,na,na,na,multiplicative,na,logistic,54.99,55.169999999999995
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,na,na,logistic,54.86,55.010000000000005
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,multiplicative,na,linear,10.9,7.85
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,additive,na,logistic,54.86,55.010000000000005
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Default,na,na,na,na,na,na,multiplicative,na,logistic,54.86,55.010000000000005
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Custom,na,na,na,na,na,na,na,na,linear,11.7,7.82
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Custom,na,na,na,na,na,na,additive,na,linear,11.7,7.82
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Custom,na,na,na,na,na,na,na,na,logistic,54.36,54.54
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Custom,na,na,na,na,na,na,multiplicative,na,linear,11.7,7.82
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Custom,na,na,na,na,na,na,additive,na,logistic,54.36,54.54
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,linear,11.88,9.790000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,additive,na,linear,11.88,9.790000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,na,Custom,na,na,na,na,na,na,multiplicative,na,logistic,54.36,54.54
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,multiplicative,na,linear,11.88,9.790000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,na,na,logistic,9.85,2.88
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,additive,na,logistic,9.85,2.88
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,na,linear,10.98,10.71
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,na,na,na,na,na,na,na,multiplicative,na,logistic,9.85,2.88
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,additive,na,linear,10.98,10.71
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,na,na,logistic,9.96,2.04
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,multiplicative,na,linear,10.98,10.71
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,additive,na,logistic,9.96,2.04
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Default,na,na,na,na,na,na,multiplicative,na,logistic,9.96,2.04
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Custom,na,na,na,na,na,na,na,na,linear,11.98,10.290000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Custom,na,na,na,na,na,na,additive,na,linear,11.98,10.290000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Custom,na,na,na,na,na,na,multiplicative,na,linear,11.98,10.290000000000001
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Custom,na,na,na,na,na,na,na,na,logistic,10.91,2.2399999999999998
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,linear,13.98,12.47
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,additive,na,linear,13.98,12.47
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Custom,na,na,na,na,na,na,additive,na,logistic,10.91,2.2399999999999998
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,logistic,40.23,40.37
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,multiplicative,na,linear,13.98,12.47
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,additive,na,logistic,40.23,40.37
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,additive,Custom,na,na,na,na,na,na,multiplicative,na,logistic,10.91,2.2399999999999998
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,na,na,linear,13.07,12.68
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,na,na,na,na,na,na,na,multiplicative,na,logistic,40.23,40.37
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,additive,na,linear,13.07,12.68
0,Canada,-,Brand,122,0.5,0.075,10.0,additive,multiplicative,multiplicative,Default,na,na,na,na,na,na,multiplicative,na,linear,13.07,12.68
