market,account_type,funnel,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,Nov_Dec_2018,Jul_Dec_2019,power,growth
Mexico,-,Brand,0.05,0.01,0.1,additive,additive,additive,na,na,na,na,na,na,na,na,na,na,linear
Mexico,-,Non_Brand,0.5,1,0.1,multiplicative,multiplicative,multiplicative,na,na,na,na,na,na,na,na,additive,na,linear
