,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,na,linear,51.18,51.870000000000005
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,na,linear,51.45,52.129999999999995
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,na,na,na,na,logistic,62.12,63.370000000000005
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,additive,na,na,na,logistic,61.42,62.370000000000005
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,na,linear,49.63,50.31
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,na,linear,51.45,52.129999999999995
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,na,linear,51.46,52.14
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,na,multiplicative,na,na,na,logistic,65.19,66.44
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,na,linear,49.9,50.580000000000005
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,na,na,na,na,logistic,61.42,62.370000000000005
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,additive,na,na,na,logistic,61.57,62.519999999999996
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,na,linear,49.63,50.31
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,additive,multiplicative,na,na,na,logistic,61.64,62.59
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,na,linear,49.15,49.84
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,na,na,na,na,logistic,65.19,66.44
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,additive,na,na,na,logistic,61.64,62.59
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,na,linear,51.0,51.66
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,48.06,48.51
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,65.12,66.38
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,na,linear,50.95,51.62
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,na,na,na,na,na,logistic,62.53,63.78
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,na,additive,na,na,na,logistic,61.08,62.019999999999996
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,na,linear,48.31,48.9
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,na,linear,50.95,51.62
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,na,multiplicative,na,na,na,logistic,65.38,66.63
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,na,na,linear,50.9,51.57000000000001
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,additive,na,na,na,na,logistic,61.08,62.019999999999996
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,na,na,linear,48.82,49.49
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,additive,additive,na,na,na,logistic,60.73,61.67
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,additive,multiplicative,na,na,na,logistic,61.36,62.3
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,na,na,linear,48.31,48.9
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,na,na,linear,48.82,49.49
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,na,na,na,na,logistic,65.38,66.63
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,na,na,linear,51.68,52.370000000000005
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,na,na,linear,47.64,48.22
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,additive,na,na,na,logistic,61.36,62.3
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,na,default,False,na,na,multiplicative,multiplicative,na,na,na,logistic,65.1,66.36
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,na,na,linear,51.4,52.09
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,na,na,na,na,na,logistic,61.57,62.519999999999996
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,na,na,linear,49.54,50.22
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,na,na,linear,51.4,52.09
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,na,additive,na,na,na,logistic,61.5,62.45
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,na,multiplicative,na,na,na,logistic,62.34,63.29
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,na,linear,51.52,52.21
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,na,na,na,na,logistic,61.5,62.45
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,linear,49.19,49.86
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,additive,na,na,na,logistic,61.47,62.419999999999995
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,na,linear,49.54,50.22
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,additive,multiplicative,na,na,na,logistic,61.61,62.56
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,additive,na,na,na,linear,49.6,50.28
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,na,na,na,na,logistic,62.34,63.29
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,linear,49.56,50.22
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,additive,na,na,na,logistic,61.06,62.01
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,na,na,na,na,linear,50.94,51.6
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,50.46,51.18000000000001
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,additive,na,na,na,linear,50.69,51.35999999999999
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,na,na,na,na,logistic,61.24,62.18
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,additive,na,na,na,logistic,61.29,62.23
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,multiplicative,na,na,na,linear,48.57,49.21
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,additive,na,na,na,na,linear,50.69,51.35999999999999
0,SM,-,-,183,0.05,10.0,10.0,additive,additive,additive,default,False,na,na,na,multiplicative,na,na,na,logistic,61.49,62.43
