,Region,Market,Account_type,WeekStart,Funnel,Ds,OptimalConversionQuantity,OptimalSpendValue,Month,Year,BaseConversionQuantity,BaseSpend,SavedDate
37,EMEA,Saudi Arabia,-,2024-05-26,Brand,2024-06-01,1.5350715343019934,13.381797790676794,Jun,2024,0.8898965416243441,11.418852688889821,2024-06-01
38,EMEA,Saudi Arabia,-,2024-05-26,Brand,2024-06-02,1.5258153111500614,10.905418916244674,Jun,2024,0.8446477615294983,9.305653747609103,2024-06-01
39,EMEA,Saudi Arabia,-,2024-06-02,Brand,2024-06-03,24.50701626809316,61.572221125714435,Jun,2024,21.522673729770155,52.54039675409837,2024-06-01
40,EMEA,Saudi Arabia,-,2024-06-02,Brand,2024-06-04,27.76941166644209,68.25930625970221,Jun,2024,24.42873056371221,58.24653707196129,2024-06-01
41,EMEA,Saudi Arabia,-,2024-06-02,Brand,2024-06-05,36.83806772448939,105.70687881046067,Jun,2024,32.265782872930764,90.20104016864899,2024-06-01
42,EMEA,Saudi Arabia,-,2024-06-02,Brand,2024-06-06,37.59446151409298,112.67961048736288,Jun,2024,32.96548359977268,96.15100235842407,2024-06-01
43,EMEA,Saudi Arabia,-,2024-06-02,Brand,2024-06-07,27.283199929159654,76.06845452650184,Jun,2024,23.79587362242496,64.91010604235498,2024-06-01
44,EMEA,Saudi Arabia,-,2024-06-02,Brand,2024-06-08,4.069963578306823,23.829170173895818,Jun,2024,2.9472150049808032,20.333840319822624,2024-06-01
45,EMEA,Saudi Arabia,-,2024-06-02,Brand,2024-06-09,5.7573777107093855,27.966369118433285,Jun,2024,4.402700602307178,23.86398957228492,2024-06-01
46,EMEA,Saudi Arabia,-,2024-06-09,Brand,2024-06-10,44.1235816131109,139.13408018053426,Jun,2024,38.57009634111591,118.72484761116868,2024-06-01
47,EMEA,Saudi Arabia,-,2024-06-09,Brand,2024-06-11,42.13243807274182,130.7758015911258,Jun,2024,36.89144911345051,111.59277528115899,2024-06-01
48,EMEA,Saudi Arabia,-,2024-06-09,Brand,2024-06-12,41.29207675513233,128.3576354929646,Jun,2024,36.085684468615646,109.52933795486224,2024-06-01
49,EMEA,Saudi Arabia,-,2024-06-09,Brand,2024-06-13,36.85073955539973,116.76514349937189,Jun,2024,32.24439711097477,99.63718257456661,2024-06-01
50,EMEA,Saudi Arabia,-,2024-06-09,Brand,2024-06-14,28.891491209928454,96.72888494089194,Jun,2024,25.127052307275907,82.53997519706046,2024-06-01
51,EMEA,Saudi Arabia,-,2024-06-09,Brand,2024-06-15,4.477541359505835,26.159003629345605,Jun,2024,3.1651585472368833,22.321855254548623,2024-06-01
52,EMEA,Saudi Arabia,-,2024-06-09,Brand,2024-06-16,5.757476916660847,28.700253324352285,Jun,2024,4.331815965868637,24.49032314386163,2024-06-01
53,EMEA,Saudi Arabia,-,2024-06-16,Brand,2024-06-17,41.81982690289433,148.53271035673595,Jun,2024,36.52202371900749,126.74502949688873,2024-06-01
54,EMEA,Saudi Arabia,-,2024-06-16,Brand,2024-06-18,41.513386156824424,142.3908475111288,Jun,2024,36.300299646347625,121.50400869078294,2024-06-01
55,EMEA,Saudi Arabia,-,2024-06-16,Brand,2024-06-19,38.17656575551218,120.78810302629347,Jun,2024,33.328747881796346,103.0700042029794,2024-06-01
56,EMEA,Saudi Arabia,-,2024-06-16,Brand,2024-06-20,30.484364839676022,92.31804415741271,Jun,2024,26.683075620801443,78.77624387056093,2024-06-01
57,EMEA,Saudi Arabia,-,2024-06-16,Brand,2024-06-21,23.07860105690222,71.42030602903854,Jun,2024,20.0942991960959,60.943732216938656,2024-06-01
58,EMEA,Saudi Arabia,-,2024-06-16,Brand,2024-06-22,1.0399344801449957,18.12380608768627,Jun,2024,0.3318939830249986,15.46519326728176,2024-06-01
59,EMEA,Saudi Arabia,-,2024-06-16,Brand,2024-06-23,1.213655564953576,15.983348882905613,Jun,2024,0.44132929634675494,13.638816855153372,2024-06-01
60,EMEA,Saudi Arabia,-,2024-06-23,Brand,2024-06-24,34.972437813373425,109.69501059091428,Jun,2024,30.542939062342334,93.60435988326614,2024-06-01
61,EMEA,Saudi Arabia,-,2024-06-23,Brand,2024-06-25,39.55008278893872,123.18631580707755,Jun,2024,34.638976075384896,105.11663525661974,2024-06-01
62,EMEA,Saudi Arabia,-,2024-06-23,Brand,2024-06-26,34.02720596282955,107.08529543964514,Jun,2024,29.796378231287438,91.37722427621651,2024-06-01
63,EMEA,Saudi Arabia,-,2024-06-23,Brand,2024-06-27,28.433476907331382,81.25589367025916,Jun,2024,24.99732794528303,69.33666195844096,2024-06-01
64,EMEA,Saudi Arabia,-,2024-06-23,Brand,2024-06-28,21.06595774846144,64.6581981430313,Jun,2024,18.460627284870803,55.173665209492306,2024-06-01
65,EMEA,Saudi Arabia,-,2024-06-23,Brand,2024-06-29,3.11481690815119,21.263237326681736,Jun,2024,2.0858148938512433,18.144052681581595,2024-06-01
66,EMEA,Saudi Arabia,-,2024-06-23,Brand,2024-06-30,3.7688341326102894,20.701284541126324,Jun,2024,2.784437157674766,17.664852973494916,2024-06-01
67,EMEA,Saudi Arabia,-,2024-06-30,Brand,2024-07-01,35.33237816806456,109.97108872798671,Jul,2024,31.950813473584066,97.43172861200338,2024-06-01
68,EMEA,Saudi Arabia,-,2024-06-30,Brand,2024-07-02,33.07581431439029,96.37422361416108,Jul,2024,30.01880723381786,85.38529442305588,2024-06-01
69,EMEA,Saudi Arabia,-,2024-06-30,Brand,2024-07-03,35.1248797688166,103.94158077339245,Jul,2024,31.856279647165806,92.08983271008118,2024-06-01
