,market,account_type,funnel,ds,region,X,y,key_0
78,UK,Desktop,-,2022-03-20,Europe,4544.299999999999,263.0,
79,UK,Desktop,-,2022-03-21,Europe,24447.050000000003,1748.0,
80,UK,Desktop,-,2022-03-22,Europe,21098.829999999994,1490.0,
81,UK,Desktop,-,2022-03-23,Europe,22656.340000000004,1464.0,
82,UK,Desktop,-,2022-03-24,Europe,23852.600000000002,1355.0,
83,UK,Desktop,-,2022-03-25,Europe,22275.100000000006,1104.0,
84,UK,Desktop,-,2022-03-26,Europe,8347.94,133.0,
85,UK,Desktop,-,2022-03-27,Europe,6755.789999999999,249.0,
86,UK,Desktop,-,2022-03-28,Europe,30952.519999999997,1591.0,
87,UK,Desktop,-,2022-03-29,Europe,20043.430000000004,1438.0,
88,UK,Desktop,-,2022-03-30,Europe,18876.329999999998,1187.0,
89,UK,Desktop,-,2022-03-31,Europe,12516.65,1193.0,
90,UK,Desktop,-,2022-04-01,Europe,16381.41,937.0,
91,UK,Desktop,-,2022-04-02,Europe,5840.7699999999995,155.0,
92,UK,Desktop,-,2022-04-03,Europe,5411.660000000001,349.0,
93,UK,Desktop,-,2022-04-04,Europe,23813.629999999997,1418.0,
94,UK,Desktop,-,2022-04-05,Europe,24586.089999999997,1467.0,
95,UK,Desktop,-,2022-04-06,Europe,23652.840000000007,1303.0,
96,UK,Desktop,-,2022-04-07,Europe,24322.129999999997,1014.0,
97,UK,Desktop,-,2022-04-08,Europe,19865.979999999996,1060.0,
98,UK,Desktop,-,2022-04-09,Europe,5393.5,121.0,
99,UK,Desktop,-,2022-04-10,Europe,4639.74,216.0,
100,UK,Desktop,-,2022-04-11,Europe,24389.05,1310.0,
101,UK,Desktop,-,2022-04-12,Europe,22405.059999999998,1159.0,
102,UK,Desktop,-,2022-04-13,Europe,21042.279999999995,1099.0,
103,UK,Desktop,-,2022-04-14,Europe,18975.18,863.0,
104,UK,Desktop,-,2022-04-15,Europe,8546.48,175.0,
105,UK,Desktop,-,2022-04-16,Europe,3650.4,106.0,
106,UK,Desktop,-,2022-04-17,Europe,2254.9199999999996,39.0,
107,UK,Desktop,-,2022-04-18,Europe,7133.230000000001,388.0,
108,UK,Desktop,-,2022-04-19,Europe,25828.72,1287.0,
109,UK,Desktop,-,2022-04-20,Europe,28845.24,1161.0,
110,UK,Desktop,-,2022-04-21,Europe,27672.790000000005,1101.0,
111,UK,Desktop,-,2022-04-22,Europe,23153.879999999997,782.0,
112,UK,Desktop,-,2022-04-23,Europe,5821.74,169.0,
113,UK,Desktop,-,2022-04-24,Europe,5490.9400000000005,209.0,
114,UK,Desktop,-,2022-04-25,Europe,27676.600000000002,1166.0,
115,UK,Desktop,-,2022-04-26,Europe,28901.440000000002,1061.0,
116,UK,Desktop,-,2022-04-27,Europe,20187.069999999996,1028.0,
117,UK,Desktop,-,2022-04-28,Europe,15874.320000000002,941.0,
118,UK,Desktop,-,2022-04-29,Europe,18164.87,662.0,
119,UK,Desktop,-,2022-04-30,Europe,5510.939999999999,71.0,
120,UK,Desktop,-,2022-05-01,Europe,5401.41,110.0,
121,UK,Desktop,-,2022-05-02,Europe,22984.96,326.0,
122,UK,Desktop,-,2022-05-03,Europe,26389.77,1319.0,
123,UK,Desktop,-,2022-05-04,Europe,22267.100000000002,1341.0,
124,UK,Desktop,-,2022-05-05,Europe,21476.329999999998,1237.0,
125,UK,Desktop,-,2022-05-06,Europe,16776.33,824.0,
126,UK,Desktop,-,2022-05-07,Europe,3929.1600000000003,99.0,
127,UK,Desktop,-,2022-05-08,Europe,3680.2,177.0,
128,UK,Desktop,-,2022-05-09,Europe,24096.479999999996,1299.0,
129,UK,Desktop,-,2022-05-10,Europe,22178.379999999997,1224.0,
130,UK,Desktop,-,2022-05-11,Europe,20918.87,1023.0,
131,UK,Desktop,-,2022-05-12,Europe,20557.04,1106.0,
132,UK,Desktop,-,2022-05-13,Europe,18493.989999999998,798.0,
133,UK,Desktop,-,2022-05-14,Europe,5899.0999999999985,119.0,
134,UK,Desktop,-,2022-05-15,Europe,5390.120000000002,172.0,
135,UK,Desktop,-,2022-05-16,Europe,29279.100000000002,1240.0,
136,UK,Desktop,-,2022-05-17,Europe,28245.409999999996,1118.0,
137,UK,Desktop,-,2022-05-18,Europe,29880.75,1021.0,
138,UK,Desktop,-,2022-05-19,Europe,26790.53,891.0,
139,UK,Desktop,-,2022-05-20,Europe,22657.190000000002,673.0,
140,UK,Desktop,-,2022-05-21,Europe,6019.4,76.0,
141,UK,Desktop,-,2022-05-22,Europe,5320.28,113.0,
142,UK,Desktop,-,2022-05-23,Europe,27220.280000000006,975.0,
143,UK,Desktop,-,2022-05-24,Europe,34577.29,1031.0,
144,UK,Desktop,-,2022-05-25,Europe,22860.419999999995,1067.0,
145,UK,Desktop,-,2022-05-26,Europe,13159.43,1028.0,
146,UK,Desktop,-,2022-05-27,Europe,19306.339999999993,716.0,
147,UK,Desktop,-,2022-05-28,Europe,5489.5,103.0,
148,UK,Desktop,-,2022-05-29,Europe,5166.900000000001,183.0,
149,UK,Desktop,-,2022-05-30,Europe,28240.199999999997,1193.0,
150,UK,Desktop,-,2022-05-31,Europe,20243.79,1132.0,
151,UK,Desktop,-,2022-06-01,Europe,16528.84,833.0,
152,UK,Desktop,-,2022-06-02,Europe,16155.579999999998,180.0,
153,UK,Desktop,-,2022-06-03,Europe,15575.02,179.0,
154,UK,Desktop,-,2022-06-04,Europe,4716.299999999999,93.0,
155,UK,Desktop,-,2022-06-05,Europe,3785.04,259.0,
156,UK,Desktop,-,2022-06-06,Europe,19329.489999999998,1352.0,
157,UK,Desktop,-,2022-06-07,Europe,37536.75000000001,1150.0,
158,UK,Desktop,-,2022-06-08,Europe,36183.14,1013.0,
159,UK,Desktop,-,2022-06-09,Europe,36058.45999999999,995.0,
160,UK,Desktop,-,2022-06-10,Europe,28817.349999999995,717.0,
161,UK,Desktop,-,2022-06-11,Europe,8096.400000000001,147.0,
162,UK,Desktop,-,2022-06-12,Europe,7337.66,172.0,
163,UK,Desktop,-,2022-06-13,Europe,37433.66,1146.0,
164,UK,Desktop,-,2022-06-14,Europe,32996.92,989.0,
165,UK,Desktop,-,2022-06-15,Europe,20170.560000000005,810.0,
166,UK,Desktop,-,2022-06-16,Europe,15178.560000000001,905.0,
167,UK,Desktop,-,2022-06-17,Europe,14450.22,598.0,
168,UK,Desktop,-,2022-06-18,Europe,3988.14,109.0,
169,UK,Desktop,-,2022-06-19,Europe,3775.34,151.0,
170,UK,Desktop,-,2022-06-20,Europe,23034.059999999998,1098.0,
171,UK,Desktop,-,2022-06-21,Europe,22482.16,959.0,
172,UK,Desktop,-,2022-06-22,Europe,25965.1,982.0,
173,UK,Desktop,-,2022-06-23,Europe,31774.660000000003,1009.0,
174,UK,Desktop,-,2022-06-24,Europe,27816.48,779.0,
175,UK,Desktop,-,2022-06-25,Europe,8969.56,158.0,
176,UK,Desktop,-,2022-06-26,Europe,6054.659999999999,179.0,
177,UK,Desktop,-,2022-06-27,Europe,25809.340000000007,1112.0,
178,UK,Desktop,-,2022-06-28,Europe,16173.859999999997,849.0,
179,UK,Desktop,-,2022-06-29,Europe,22283.06,963.0,
180,UK,Desktop,-,2022-06-30,Europe,21796.489999999998,1089.0,
181,UK,Desktop,-,2022-07-01,Europe,25351.6,792.0,
182,UK,Desktop,-,2022-07-02,Europe,5813.920000000001,140.0,
183,UK,Desktop,-,2022-07-03,Europe,5045.219999999999,212.0,
184,UK,Desktop,-,2022-07-04,Europe,33431.79,1284.0,
185,UK,Desktop,-,2022-07-05,Europe,29399.829999999998,1045.0,
186,UK,Desktop,-,2022-07-06,Europe,28918.170000000002,1011.0,
187,UK,Desktop,-,2022-07-07,Europe,23516.08,993.0,
