market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,growth,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,power,MAPE,period_AE
UK,Desktop,-,183,0.05,10,0.01,flat,additive,multiplicative,na,na,na,na,na,na,na,na,na,22.25,0.141
UK,Mobile & Tablet,-,183,0.05,0.01,0.01,flat,multiplicative,multiplicative,na,na,na,na,na,na,na,na,na,114.87,1.1468
