,ds,region,market,account_type,funnel,Identifier,X,y,anomaly_2021,covid_year_dummy,Covid_Year_Dummy,weekday_or_weekend,Nov_Dec_2018,Jul_Dec_2019,Month of Ds,new_funnel,generic_cost,competitor_cost,generic_cost_split,competitor_cost_split,Weekend,new_confirmed,floor,AOV,ROAS,cap
899,2020-01-26,LATAM,Mexico,-,Brand,L,3.53,3.0,0.0,0.0,1.0,1.0,0.0,0.0,January,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.199272577996716
900,2020-01-27,LATAM,Mexico,-,Brand,L,413.38,102.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,140.4405944170772
901,2020-01-28,LATAM,Mexico,-,Brand,L,374.61,142.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,127.26898029556652
902,2020-01-29,LATAM,Mexico,-,Brand,L,336.4100000000001,78.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,114.29101642036129
903,2020-01-30,LATAM,Mexico,-,Brand,L,214.07999999999998,146.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,72.73095566502464
904,2020-01-31,LATAM,Mexico,-,Brand,L,175.20000000000002,114.0,0.0,0.0,2.0,0.0,0.0,0.0,JanuaryJanuary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,59.52197044334976
905,2020-02-01,LATAM,Mexico,-,Brand,L,2.99,5.0,0.0,0.0,2.0,2.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,1.0158144499178985
906,2020-02-02,LATAM,Mexico,-,Brand,L,1.75,2.0,0.0,0.0,1.0,1.0,0.0,0.0,February,0,0.0,0.0,0.5,0.5,1,0,0,60.9,20.69,0.5945402298850575
907,2020-02-03,LATAM,Mexico,-,Brand,L,104.55,13.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,35.519532019704435
908,2020-02-04,LATAM,Mexico,-,Brand,L,399.18999999999994,84.0,0.0,0.0,2.0,0.0,0.0,0.0,FebruaryFebruary,0,0.0,0.0,0.5,0.5,0,0,0,60.9,20.69,135.6197224958949
