,ds,market,new_confirmed
181,2020-01-14,Italy,0
182,2020-01-15,UK,0
183,2020-01-15,Turkey,0
184,2020-01-15,Switzerland,0
185,2020-01-15,Sweden,0
186,2020-01-15,Spain,0
187,2020-01-15,Poland,0
188,2020-01-15,Netherlands,0
189,2020-01-15,Ireland,0
190,2020-01-15,Germany,2
191,2020-01-15,France,0
192,2020-01-15,Belgium,0
193,2020-01-15,Austria,0
194,2020-01-15,Italy,0
195,2020-01-16,Spain,0
196,2020-01-16,UK,0
197,2020-01-16,Turkey,0
198,2020-01-16,Switzerland,0
199,2020-01-16,Sweden,0
200,2020-01-16,Poland,0
201,2020-01-16,France,0
202,2020-01-16,Italy,0
203,2020-01-16,Ireland,0
204,2020-01-16,Germany,0
205,2020-01-16,Netherlands,0
206,2020-01-16,Belgium,0
207,2020-01-16,Austria,0
208,2020-01-17,Turkey,0
209,2020-01-17,Switzerland,0
210,2020-01-17,Sweden,0
211,2020-01-17,Spain,0
212,2020-01-17,Poland,0
213,2020-01-17,Netherlands,0
214,2020-01-17,UK,0
215,2020-01-17,Ireland,0
216,2020-01-17,Germany,0
217,2020-01-17,France,0
218,2020-01-17,Belgium,0
219,2020-01-17,Austria,0
220,2020-01-17,Italy,0
221,2020-01-18,UK,0
222,2020-01-18,Turkey,0
223,2020-01-18,Switzerland,0
224,2020-01-18,Sweden,0
225,2020-01-18,Spain,2
226,2020-01-18,Poland,0
227,2020-01-18,Netherlands,0
228,2020-01-18,Ireland,0
229,2020-01-18,Germany,0
230,2020-01-18,France,0
231,2020-01-18,Belgium,0
232,2020-01-18,Austria,0
233,2020-01-18,Italy,0
234,2020-01-19,Poland,0
235,2020-01-19,Turkey,0
236,2020-01-19,Switzerland,0
237,2020-01-19,Sweden,0
238,2020-01-19,Spain,0
239,2020-01-19,Netherlands,0
240,2020-01-19,UK,0
241,2020-01-19,Ireland,0
242,2020-01-19,Austria,0
243,2020-01-19,Belgium,0
244,2020-01-19,Italy,0
245,2020-01-19,Germany,0
246,2020-01-19,France,0
247,2020-01-20,UK,0
248,2020-01-20,Turkey,0
249,2020-01-20,Switzerland,0
250,2020-01-20,Sweden,0
251,2020-01-20,Poland,0
252,2020-01-20,Spain,0
253,2020-01-20,Ireland,0
254,2020-01-20,Germany,2
255,2020-01-20,France,0
256,2020-01-20,Belgium,0
257,2020-01-20,Austria,0
258,2020-01-20,Italy,0
259,2020-01-20,Netherlands,0
260,2020-01-21,Poland,0
261,2020-01-21,UK,0
262,2020-01-21,Turkey,0
263,2020-01-21,Switzerland,0
264,2020-01-21,Sweden,0
265,2020-01-21,Spain,2
266,2020-01-21,Netherlands,0
267,2020-01-21,Ireland,0
268,2020-01-21,Germany,0
269,2020-01-21,France,0
270,2020-01-21,Belgium,0
271,2020-01-21,Austria,0
272,2020-01-21,Italy,0
273,2020-01-22,UK,0
274,2020-01-22,Turkey,0
