market,account_type,funnel,Month,Year,variable_splits,Constrain_Variable_Name,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,Nov_Dec_2018,Jul_Dec_2019,dec_2022,power,growth,MAPE,period_AE,periods,periods_for_acc_cal,cutoff_month,MinWeight,MaxWeight
Italy,-,Non_Brand,May,2024,Italy_-_Non_Brand_May_2024,cost,0.05,10.0,10.0,additive,multiplicative,multiplicative,default,FALSE,na,na,na,na,na,na,na,na,na,linear,10.78,2.59,252.0,183,24/04/24,0.8,1.2
Poland,-,Brand,May,2024,Poland_-_Brand_May_2024,cost,0.1,0.01,10.0,additive,additive,multiplicative,na,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36,252.0,183,24/04/24,0.8,1.2
Poland,-,Non_Brand,May,2024,Poland_-_Non_Brand_May_2024,cost,0.1,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000,252.0,183,24/04/24,0.8,1.2
SM,-,-,May,2024,SM_-_-_May_2024,cost,0.001,0.01,0.01,additive,multiplicative,na,default,FALSE,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37,252.0,183,24/04/24,0.8,1.2
UK,-,Brand,May,2024,UK_-_Brand_May_2024,cost,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,FALSE,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87,252.0,183,24/04/24,0.8,1.2
UK,-,Non_Brand,May,2024,UK_-_Non_Brand_May_2024,cost,0.1,0.01,1.0,multiplicative,additive,na,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000,252.0,183,24/04/24,0.8,1.2
France,-,Brand,Jun,2024,France_-_Brand_Jun_2024,cost,0.001,0.01,10.0,additive,multiplicative,na,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72,252.0,183,24/04/24,0.8,1.2
France,-,Non_Brand,Jun,2024,France_-_Non_Brand_Jun_2024,cost,0.0001,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000,252.0,183,24/04/24,0.8,1.2
Germany,-,Brand,Jun,2024,Germany_-_Brand_Jun_2024,cost,0.05,1.0,10.0,multiplicative,multiplicative,additive,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96,252.0,183,24/04/24,0.8,1.2
Germany,-,Non_Brand,Jun,2024,Germany_-_Non_Brand_Jun_2024,cost,0.001,0.01,1.0,additive,additive,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78,252.0,183,24/04/24,0.8,1.2
India,-,Brand,Jun,2024,India_-_Brand_Jun_2024,cost,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,17.03,13.54,252.0,183,24/04/24,0.8,1.2
India,-,Non_Brand,Jun,2024,India_-_Non_Brand_Jun_2024,cost,0.05,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,multiplicative,additive,na,na,na,na,na,linear,20.47,18.04,252.0,183,24/04/24,0.8,1.2
Italy,-,Brand,Jun,2024,Italy_-_Brand_Jun_2024,cost,0.001,0.01,0.1,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,5.11,1.42,252.0,183,24/04/24,0.8,1.2
Italy,-,Non_Brand,Jun,2024,Italy_-_Non_Brand_Jun_2024,cost,0.05,10.0,10.0,additive,multiplicative,multiplicative,default,FALSE,na,na,na,na,na,na,na,na,na,linear,10.78,2.59,252.0,183,24/04/24,0.8,1.2
Poland,-,Brand,Jun,2024,Poland_-_Brand_Jun_2024,cost,0.1,0.01,10.0,additive,additive,multiplicative,na,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36,252.0,183,24/04/24,0.8,1.2
Poland,-,Non_Brand,Jun,2024,Poland_-_Non_Brand_Jun_2024,cost,0.1,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000,252.0,183,24/04/24,0.8,1.2
SM,-,-,Jun,2024,SM_-_-_Jun_2024,cost,0.001,0.01,0.01,additive,multiplicative,na,default,FALSE,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37,252.0,183,24/04/24,0.8,1.2
UK,-,Brand,Jun,2024,UK_-_Brand_Jun_2024,cost,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,FALSE,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87,252.0,183,24/04/24,0.8,1.2
UK,-,Non_Brand,Jun,2024,UK_-_Non_Brand_Jun_2024,cost,0.1,0.01,1.0,multiplicative,additive,na,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000,252.0,183,24/04/24,0.8,1.2
France,-,Brand,Jul,2024,France_-_Brand_Jul_2024,cost,0.001,0.01,10.0,additive,multiplicative,na,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72,252.0,183,24/04/24,0.8,1.2
France,-,Non_Brand,Jul,2024,France_-_Non_Brand_Jul_2024,cost,0.0001,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000,252.0,183,24/04/24,0.8,1.2
Germany,-,Brand,Jul,2024,Germany_-_Brand_Jul_2024,cost,0.05,1.0,10.0,multiplicative,multiplicative,additive,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96,252.0,183,24/04/24,0.8,1.2
Germany,-,Non_Brand,Jul,2024,Germany_-_Non_Brand_Jul_2024,cost,0.001,0.01,1.0,additive,additive,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78,252.0,183,24/04/24,0.8,1.2
India,-,Brand,Jul,2024,India_-_Brand_Jul_2024,cost,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,17.03,13.54,252.0,183,24/04/24,0.8,1.2
India,-,Non_Brand,Jul,2024,India_-_Non_Brand_Jul_2024,cost,0.05,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,multiplicative,additive,na,na,na,na,na,linear,20.47,18.04,252.0,183,24/04/24,0.8,1.2
Italy,-,Brand,Jul,2024,Italy_-_Brand_Jul_2024,cost,0.001,0.01,0.1,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,5.11,1.42,252.0,183,24/04/24,0.8,1.2
Italy,-,Non_Brand,Jul,2024,Italy_-_Non_Brand_Jul_2024,cost,0.05,10.0,10.0,additive,multiplicative,multiplicative,default,FALSE,na,na,na,na,na,na,na,na,na,linear,10.78,2.59,252.0,183,24/04/24,0.8,1.2
Poland,-,Brand,Jul,2024,Poland_-_Brand_Jul_2024,cost,0.1,0.01,10.0,additive,additive,multiplicative,na,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36,252.0,183,24/04/24,0.8,1.2
Poland,-,Non_Brand,Jul,2024,Poland_-_Non_Brand_Jul_2024,cost,0.1,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000,252.0,183,24/04/24,0.8,1.2
SM,-,-,Jul,2024,SM_-_-_Jul_2024,cost,0.001,0.01,0.01,additive,multiplicative,na,default,FALSE,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37,252.0,183,24/04/24,0.8,1.2
UK,-,Brand,Jul,2024,UK_-_Brand_Jul_2024,cost,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,FALSE,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87,252.0,183,24/04/24,0.8,1.2
UK,-,Non_Brand,Jul,2024,UK_-_Non_Brand_Jul_2024,cost,0.1,0.01,1.0,multiplicative,additive,na,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000,252.0,183,24/04/24,0.8,1.2
France,-,Brand,Aug,2024,France_-_Brand_Aug_2024,cost,0.001,0.01,10.0,additive,multiplicative,na,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72,252.0,183,24/04/24,0.8,1.2
France,-,Non_Brand,Aug,2024,France_-_Non_Brand_Aug_2024,cost,0.0001,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000,252.0,183,24/04/24,0.8,1.2
Germany,-,Brand,Aug,2024,Germany_-_Brand_Aug_2024,cost,0.05,1.0,10.0,multiplicative,multiplicative,additive,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96,252.0,183,24/04/24,0.8,1.2
Germany,-,Non_Brand,Aug,2024,Germany_-_Non_Brand_Aug_2024,cost,0.001,0.01,1.0,additive,additive,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78,252.0,183,24/04/24,0.8,1.2
India,-,Brand,Aug,2024,India_-_Brand_Aug_2024,cost,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,17.03,13.54,252.0,183,24/04/24,0.8,1.2
India,-,Non_Brand,Aug,2024,India_-_Non_Brand_Aug_2024,cost,0.05,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,multiplicative,additive,na,na,na,na,na,linear,20.47,18.04,252.0,183,24/04/24,0.8,1.2
Italy,-,Brand,Aug,2024,Italy_-_Brand_Aug_2024,cost,0.001,0.01,0.1,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,5.11,1.42,252.0,183,24/04/24,0.8,1.2
Italy,-,Non_Brand,Aug,2024,Italy_-_Non_Brand_Aug_2024,cost,0.05,10.0,10.0,additive,multiplicative,multiplicative,default,FALSE,na,na,na,na,na,na,na,na,na,linear,10.78,2.59,252.0,183,24/04/24,0.8,1.2
Poland,-,Brand,Aug,2024,Poland_-_Brand_Aug_2024,cost,0.1,0.01,10.0,additive,additive,multiplicative,na,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36,252.0,183,24/04/24,0.8,1.2
Poland,-,Non_Brand,Aug,2024,Poland_-_Non_Brand_Aug_2024,cost,0.1,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000,252.0,183,24/04/24,0.8,1.2
SM,-,-,Aug,2024,SM_-_-_Aug_2024,cost,0.001,0.01,0.01,additive,multiplicative,na,default,FALSE,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37,252.0,183,24/04/24,0.8,1.2
UK,-,Brand,Aug,2024,UK_-_Brand_Aug_2024,cost,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,FALSE,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87,252.0,183,24/04/24,0.8,1.2
UK,-,Non_Brand,Aug,2024,UK_-_Non_Brand_Aug_2024,cost,0.1,0.01,1.0,multiplicative,additive,na,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000,252.0,183,24/04/24,0.8,1.2
France,-,Brand,Sep,2024,France_-_Brand_Sep_2024,cost,0.001,0.01,10.0,additive,multiplicative,na,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72,252.0,183,24/04/24,0.8,1.2
France,-,Non_Brand,Sep,2024,France_-_Non_Brand_Sep_2024,cost,0.0001,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000,252.0,183,24/04/24,0.8,1.2
Germany,-,Brand,Sep,2024,Germany_-_Brand_Sep_2024,cost,0.05,1.0,10.0,multiplicative,multiplicative,additive,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96,252.0,183,24/04/24,0.8,1.2
Germany,-,Non_Brand,Sep,2024,Germany_-_Non_Brand_Sep_2024,cost,0.001,0.01,1.0,additive,additive,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78,252.0,183,24/04/24,0.8,1.2
India,-,Brand,Sep,2024,India_-_Brand_Sep_2024,cost,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,17.03,13.54,252.0,183,24/04/24,0.8,1.2
India,-,Non_Brand,Sep,2024,India_-_Non_Brand_Sep_2024,cost,0.05,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,multiplicative,additive,na,na,na,na,na,linear,20.47,18.04,252.0,183,24/04/24,0.8,1.2
Italy,-,Brand,Sep,2024,Italy_-_Brand_Sep_2024,cost,0.001,0.01,0.1,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,5.11,1.42,252.0,183,24/04/24,0.8,1.2
Italy,-,Non_Brand,Sep,2024,Italy_-_Non_Brand_Sep_2024,cost,0.05,10.0,10.0,additive,multiplicative,multiplicative,default,FALSE,na,na,na,na,na,na,na,na,na,linear,10.78,2.59,252.0,183,24/04/24,0.8,1.2
Poland,-,Brand,Sep,2024,Poland_-_Brand_Sep_2024,cost,0.1,0.01,10.0,additive,additive,multiplicative,na,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36,252.0,183,24/04/24,0.8,1.2
Poland,-,Non_Brand,Sep,2024,Poland_-_Non_Brand_Sep_2024,cost,0.1,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000,252.0,183,24/04/24,0.8,1.2
SM,-,-,Sep,2024,SM_-_-_Sep_2024,cost,0.001,0.01,0.01,additive,multiplicative,na,default,FALSE,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37,252.0,183,24/04/24,0.8,1.2
UK,-,Brand,Sep,2024,UK_-_Brand_Sep_2024,cost,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,FALSE,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87,252.0,183,24/04/24,0.8,1.2
UK,-,Non_Brand,Sep,2024,UK_-_Non_Brand_Sep_2024,cost,0.1,0.01,1.0,multiplicative,additive,na,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000,252.0,183,24/04/24,0.8,1.2
France,-,Brand,Oct,2024,France_-_Brand_Oct_2024,cost,0.001,0.01,10.0,additive,multiplicative,na,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72,252.0,183,24/04/24,0.8,1.2
France,-,Non_Brand,Oct,2024,France_-_Non_Brand_Oct_2024,cost,0.0001,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000,252.0,183,24/04/24,0.8,1.2
Germany,-,Brand,Oct,2024,Germany_-_Brand_Oct_2024,cost,0.05,1.0,10.0,multiplicative,multiplicative,additive,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96,252.0,183,24/04/24,0.8,1.2
Germany,-,Non_Brand,Oct,2024,Germany_-_Non_Brand_Oct_2024,cost,0.001,0.01,1.0,additive,additive,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78,252.0,183,24/04/24,0.8,1.2
India,-,Brand,Oct,2024,India_-_Brand_Oct_2024,cost,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,17.03,13.54,252.0,183,24/04/24,0.8,1.2
India,-,Non_Brand,Oct,2024,India_-_Non_Brand_Oct_2024,cost,0.05,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,multiplicative,additive,na,na,na,na,na,linear,20.47,18.04,252.0,183,24/04/24,0.8,1.2
Italy,-,Brand,Oct,2024,Italy_-_Brand_Oct_2024,cost,0.001,0.01,0.1,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,5.11,1.42,252.0,183,24/04/24,0.8,1.2
Italy,-,Non_Brand,Oct,2024,Italy_-_Non_Brand_Oct_2024,cost,0.05,10.0,10.0,additive,multiplicative,multiplicative,default,FALSE,na,na,na,na,na,na,na,na,na,linear,10.78,2.59,252.0,183,24/04/24,0.8,1.2
Poland,-,Brand,Oct,2024,Poland_-_Brand_Oct_2024,cost,0.1,0.01,10.0,additive,additive,multiplicative,na,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36,252.0,183,24/04/24,0.8,1.2
Poland,-,Non_Brand,Oct,2024,Poland_-_Non_Brand_Oct_2024,cost,0.1,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000,252.0,183,24/04/24,0.8,1.2
SM,-,-,Oct,2024,SM_-_-_Oct_2024,cost,0.001,0.01,0.01,additive,multiplicative,na,default,FALSE,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37,252.0,183,24/04/24,0.8,1.2
UK,-,Brand,Oct,2024,UK_-_Brand_Oct_2024,cost,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,FALSE,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87,252.0,183,24/04/24,0.9,1.5
UK,-,Non_Brand,Oct,2024,UK_-_Non_Brand_Oct_2024,cost,0.1,0.01,1.0,multiplicative,additive,na,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000,252.0,183,24/04/24,0.9,1.5
France,-,Brand,Nov,2024,France_-_Brand_Nov_2024,cost,0.001,0.01,10.0,additive,multiplicative,na,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72,252.0,183,24/04/24,0.7,0.8
France,-,Non_Brand,Nov,2024,France_-_Non_Brand_Nov_2024,cost,0.0001,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000,252.0,183,24/04/24,0.7,0.8
Germany,-,Brand,Nov,2024,Germany_-_Brand_Nov_2024,cost,0.05,1.0,10.0,multiplicative,multiplicative,additive,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96,252.0,183,24/04/24,0.7,0.8
Germany,-,Non_Brand,Nov,2024,Germany_-_Non_Brand_Nov_2024,cost,0.001,0.01,1.0,additive,additive,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78,252.0,183,24/04/24,0.7,0.8
India,-,Brand,Nov,2024,India_-_Brand_Nov_2024,cost,0.1,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,17.03,13.54,252.0,183,24/04/24,0.75,0.85
India,-,Non_Brand,Nov,2024,India_-_Non_Brand_Nov_2024,cost,0.05,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,multiplicative,additive,na,na,na,na,na,linear,20.47,18.04,252.0,183,24/04/24,0.75,0.85
Italy,-,Brand,Nov,2024,Italy_-_Brand_Nov_2024,cost,0.001,0.01,0.1,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,5.11,1.42,252.0,183,24/04/24,0.75,0.85
Italy,-,Non_Brand,Nov,2024,Italy_-_Non_Brand_Nov_2024,cost,0.05,10.0,10.0,additive,multiplicative,multiplicative,default,FALSE,na,na,na,na,na,na,na,na,na,linear,10.78,2.59,252.0,183,24/04/24,0.75,0.85
Poland,-,Brand,Nov,2024,Poland_-_Brand_Nov_2024,cost,0.1,0.01,10.0,additive,additive,multiplicative,na,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.07,0.36,252.0,183,24/04/24,0.75,0.85
Poland,-,Non_Brand,Nov,2024,Poland_-_Non_Brand_Nov_2024,cost,0.1,0.01,0.1,multiplicative,additive,na,na,FALSE,na,na,na,na,na,na,na,na,na,linear,27.96,20.830.000.000.000.000,252.0,183,24/04/24,0.75,0.85
SM,-,-,Nov,2024,SM_-_-_Nov_2024,cost,0.001,0.01,0.01,additive,multiplicative,na,default,FALSE,na,na,additive,additive,na,na,na,multiplicative,na,logistic,11.42,3.37,252.0,183,24/04/24,0.7,0.8
UK,-,Brand,Nov,2024,UK_-_Brand_Nov_2024,cost,0.05,0.01,1.0,multiplicative,multiplicative,additive,default,FALSE,na,na,na,additive,na,na,na,na,na,logistic,19.26,9.87,252.0,183,24/04/24,0.7,0.8
UK,-,Non_Brand,Nov,2024,UK_-_Non_Brand_Nov_2024,cost,0.1,0.01,1.0,multiplicative,additive,na,default,FALSE,na,na,multiplicative,additive,na,na,na,na,na,logistic,28.25,31.290.000.000.000.000,252.0,183,24/04/24,0.7,0.8
France,-,Brand,Dec,2024,France_-_Brand_Dec_2024,cost,0.001,0.01,10.0,additive,multiplicative,na,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,12.6,1.72,252.0,183,24/04/24,0.8,1.2
France,-,Non_Brand,Dec,2024,France_-_Non_Brand_Dec_2024,cost,0.0001,0.01,1.0,multiplicative,multiplicative,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,23.42,21.990.000.000.000.000,252.0,183,24/04/24,0.8,1.2
Germany,-,Brand,Dec,2024,Germany_-_Brand_Dec_2024,cost,0.05,1.0,10.0,multiplicative,multiplicative,additive,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,6.4,1.96,252.0,183,24/04/24,0.8,1.2
Germany,-,Non_Brand,Dec,2024,Germany_-_Non_Brand_Dec_2024,cost,0.001,0.01,1.0,additive,additive,multiplicative,default,FALSE,na,na,additive,multiplicative,na,na,na,na,na,linear,13.54,13.78,252.0,183,24/04/24,0.8,1.2
