,market,account_type,funnel,periods_for_acc_cal,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,input_mode,weekday_or_weekend,include_holiday,covid_year_exclude,covid_year_dummy,anomaly_2021,generic_cost_split,competitor_cost_split,new_confirmed,dec_2022,power,growth,MAPE,period_AE
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,na,na,na,na,na,linear,24.93,19.02
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,na,False,na,na,multiplicative,multiplicative,na,na,na,logistic,162.84,87.53999999999999
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,na,additive,na,na,na,linear,49.85,43.43
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,na,multiplicative,na,na,na,linear,33.17,28.17
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,na,na,na,na,na,logistic,114.13,37.79
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,na,additive,na,na,na,logistic,115.66,49.1
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,additive,na,na,na,na,linear,45.67,39.269999999999996
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,na,multiplicative,na,na,na,logistic,132.81,58.209999999999994
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,additive,additive,na,na,na,linear,49.12,42.730000000000004
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,additive,na,na,na,na,logistic,115.66,49.1
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,additive,multiplicative,na,na,na,linear,49.16,43.13
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,multiplicative,na,na,na,na,linear,28.6,24.81
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,additive,additive,na,na,na,logistic,119.5,51.959999999999994
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,multiplicative,additive,na,na,na,linear,54.22,48.07
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,additive,multiplicative,na,na,na,logistic,138.13,71.05
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,multiplicative,na,na,na,na,logistic,132.81,58.209999999999994
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,multiplicative,multiplicative,na,na,na,linear,29.32,25.080000000000002
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,na,na,na,na,na,linear,32.8,23.3
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,multiplicative,additive,na,na,na,logistic,138.13,71.05
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,na,additive,na,na,na,linear,46.06,39.47
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,additive,default,False,na,na,multiplicative,multiplicative,na,na,na,logistic,112.67,42.14
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,na,na,na,na,na,logistic,306.93,201.82000000000002
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,na,additive,na,na,na,logistic,333.97,203.25000000000003
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,na,multiplicative,na,na,na,linear,36.54,28.970000000000002
0,Italy,-,Non_Brand,183,0.05,0.01,0.1,additive,additive,multiplicative,na,False,na,na,additive,na,na,na,na,linear,44.04,37.39
